"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","37,28","37,48","37,80","37,00","391,24K","-0,16%"
"05/01/2015","36,80","37,20","37,85","36,76","515,59K","-1,29%"
"06/01/2015","36,03","37,02","37,02","36,02","897,34K","-2,09%"
"07/01/2015","36,21","36,28","36,48","35,99","692,87K","0,50%"
"08/01/2015","36,94","36,55","37,23","36,16","960,63K","2,02%"
"09/01/2015","36,91","36,91","37,49","36,66","794,59K","-0,08%"
"12/01/2015","37,31","37,09","37,58","36,95","502,49K","1,08%"
"13/01/2015","37,95","37,12","38,02","37,12","624,13K","1,72%"
"14/01/2015","37,05","37,61","38,06","36,83","1,04M","-2,37%"
"15/01/2015","38,20","37,79","38,20","36,84","1,41M","3,10%"
"16/01/2015","39,09","38,02","39,17","37,91","1,70M","2,33%"
"19/01/2015","39,40","39,08","39,59","38,95","1,04M","0,79%"
"20/01/2015","39,59","39,40","40,00","39,40","1,21M","0,48%"
"21/01/2015","40,86","39,83","41,02","39,73","1,72M","3,21%"
"22/01/2015","41,91","40,70","42,00","40,56","1,49M","2,57%"
"23/01/2015","43,70","42,03","43,88","42,02","2,31M","4,27%"
"26/01/2015","44,44","43,62","44,54","43,49","1,18M","1,69%"
"27/01/2015","43,51","44,19","44,49","43,30","1,03M","-2,09%"
"28/01/2015","43,80","43,70","43,80","43,13","931,07K","0,67%"
"29/01/2015","44,08","43,42","44,08","42,95","897,93K","0,64%"
"30/01/2015","44,33","44,17","44,45","43,92","722,65K","0,57%"
"02/02/2015","43,90","44,31","44,70","43,52","1,02M","-0,97%"
"03/02/2015","44,27","43,98","44,75","43,87","968,54K","0,84%"
"04/02/2015","44,45","44,07","44,58","43,50","1,10M","0,41%"
"05/02/2015","44,90","44,03","45,16","44,03","1,15M","1,01%"
"06/02/2015","45,23","44,77","45,32","44,16","997,22K","0,73%"
"09/02/2015","44,88","44,85","45,10","44,25","1,50M","-0,77%"
"10/02/2015","44,95","44,81","45,29","44,49","920,63K","0,16%"
"11/02/2015","44,94","44,87","45,24","44,75","528,13K","-0,02%"
"12/02/2015","45,63","44,80","45,69","44,65","1,07M","1,54%"
"13/02/2015","45,72","45,63","45,89","45,39","848,30K","0,20%"
"16/02/2015","45,41","45,69","45,73","45,30","646,45K","-0,68%"
"17/02/2015","45,15","45,00","45,29","44,77","847,53K","-0,57%"
"18/02/2015","46,15","45,69","46,89","45,60","1,62M","2,21%"
"19/02/2015","47,17","46,22","47,60","46,10","1,72M","2,21%"
"20/02/2015","46,91","47,05","47,17","46,60","1,24M","-0,55%"
"23/02/2015","47,39","46,91","47,41","46,78","1,31M","1,02%"
"24/02/2015","47,49","47,46","47,87","46,99","792,21K","0,21%"
"25/02/2015","47,52","47,63","48,33","47,35","1,29M","0,06%"
"26/02/2015","47,37","47,41","47,47","46,62","1,32M","-0,32%"
"27/02/2015","46,83","46,84","46,90","46,25","1,92M","-1,14%"
"02/03/2015","47,15","46,80","47,16","46,65","986,63K","0,68%"
"03/03/2015","46,24","47,09","47,41","46,14","1,13M","-1,93%"
"04/03/2015","46,61","46,49","46,62","46,08","868,26K","0,80%"
"05/03/2015","48,35","46,78","48,45","46,62","1,61M","3,73%"
