"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","19,10","19,38","19,50","19,01","4,34M","-0,52%"
"05/01/2015","18,39","19,00","19,19","18,32","9,65M","-3,72%"
"06/01/2015","18,19","18,42","18,53","18,18","8,75M","-1,09%"
"07/01/2015","18,39","18,32","18,54","18,16","8,37M","1,10%"
"08/01/2015","19,14","18,70","19,20","18,59","11,28M","4,08%"
"09/01/2015","18,71","19,11","19,20","18,48","9,59M","-2,25%"
"12/01/2015","18,74","18,82","19,03","18,48","7,58M","0,16%"
"13/01/2015","19,16","18,68","19,32","18,61","7,96M","2,24%"
"14/01/2015","18,80","18,91","19,29","18,72","9,61M","-1,88%"
"15/01/2015","19,49","18,96","19,50","18,21","19,08M","3,67%"
"16/01/2015","19,91","19,38","19,97","19,27","18,80M","2,15%"
"19/01/2015","20,04","19,93","20,26","19,86","10,66M","0,65%"
"20/01/2015","20,16","20,09","20,27","20,05","10,71M","0,60%"
"21/01/2015","20,25","20,18","20,39","20,00","13,75M","0,45%"
"22/01/2015","20,64","20,27","20,74","20,18","13,11M","1,93%"
"23/01/2015","20,70","20,82","20,93","20,58","13,04M","0,29%"
"26/01/2015","20,76","20,52","20,82","20,47","7,57M","0,29%"
"27/01/2015","20,85","20,87","20,93","20,66","10,64M","0,43%"
"28/01/2015","20,93","21,00","21,04","20,63","9,23M","0,38%"
"29/01/2015","21,16","20,80","21,18","20,71","7,79M","1,10%"
"30/01/2015","20,86","21,29","21,31","20,70","11,31M","-1,42%"
"02/02/2015","20,82","20,84","20,98","20,50","7,59M","-0,19%"
"03/02/2015","21,09","20,92","21,33","20,89","9,56M","1,30%"
"04/02/2015","21,01","21,07","21,10","20,84","7,43M","-0,38%"
"05/02/2015","20,72","20,80","20,87","20,61","8,15M","-1,38%"
"06/02/2015","20,86","20,76","20,93","20,61","5,55M","0,68%"
"09/02/2015","20,43","20,63","20,66","20,12","11,93M","-2,06%"
"10/02/2015","20,86","20,54","21,00","20,45","10,48M","2,10%"
"11/02/2015","20,66","20,85","20,85","20,54","4,75M","-0,96%"
"12/02/2015","20,84","20,61","21,11","20,54","6,99M","0,87%"
"13/02/2015","20,84","21,00","21,23","20,80","8,73M","0,00%"
"16/02/2015","20,54","20,84","20,92","20,54","6,06M","-1,44%"
"17/02/2015","20,61","20,43","20,61","20,18","6,58M","0,34%"
"18/02/2015","21,00","20,71","21,04","20,66","8,83M","1,89%"
"19/02/2015","21,25","20,93","21,29","20,83","8,52M","1,19%"
"20/02/2015","21,15","21,14","21,23","20,89","10,34M","-0,47%"
"23/02/2015","21,30","21,36","21,41","21,21","5,80M","0,71%"
"24/02/2015","21,43","21,41","21,55","21,25","7,29M","0,61%"
"25/02/2015","22,00","21,88","22,48","21,88","14,61M","2,66%"
"26/02/2015","22,47","22,07","22,48","22,06","10,21M","2,14%"
"27/02/2015","22,69","22,45","22,71","22,36","8,65M","0,98%"
"02/03/2015","22,46","22,61","22,73","22,41","6,77M","-1,01%"
"03/03/2015","22,23","22,55","22,62","22,14","6,81M","-1,02%"
"04/03/2015","22,53","22,34","22,62","22,11","8,55M","1,35%"
"05/03/2015","22,68","22,64","22,79","22,53","8,32M","0,67%"
"06/03/2015","22,79","22,64","22,91","22,61","7,55M","0,49%"
"09/03/2015","22,84","22,71","22,94","22,64","7,58M","0,22%"
"10/03/2015","22,39","22,82","22,84","22,39","9,58M","-1,97%"
"11/03/2015","22,82","22,42","22,94","22,42","7,64M","1,92%"
"12/03/2015","23,11","22,91","23,14","22,82","9,10M","1,27%"
"13/03/2015","23,41","23,16","23,43","23,05","8,80M","1,30%"
"16/03/2015","23,76","23,46","23,85","23,44","8,02M","1,50%"
"17/03/2015","23,48","23,81","23,92","23,43","8,06M","-1,18%"
"18/03/2015","23,32","23,47","23,61","23,30","7,41M","-0,68%"
"19/03/2015","23,32","23,20","23,36","23,11","8,81M","0,00%"
"20/03/2015","23,82","23,40","23,89","23,29","10,99M","2,14%"
"23/03/2015","23,43","23,83","23,89","23,34","6,90M","-1,64%"
"24/03/2015","23,67","23,36","23,77","23,32","7,99M","1,02%"
"25/03/2015","23,55","23,65","23,77","23,47","6,00M","-0,51%"
"26/03/2015","23,25","23,29","23,34","22,79","9,59M","-1,27%"
"27/03/2015","23,53","23,38","23,59","23,33","7,65M","1,20%"
"30/03/2015","23,75","23,70","23,79","23,54","5,61M","0,93%"
"31/03/2015","23,45","23,73","23,82","23,45","7,22M","-1,26%"
"01/04/2015","23,80","23,41","24,09","23,34","6,58M","1,49%"
"02/04/2015","23,91","23,77","23,95","23,72","3,79M","0,46%"
"07/04/2015","24,17","24,02","24,44","23,94","6,28M","1,09%"
"08/04/2015","24,09","24,20","24,34","24,07","5,58M","-0,33%"
"09/04/2015","24,36","24,28","24,39","24,20","5,13M","1,12%"
"10/04/2015","24,48","24,41","24,57","24,35","4,70M","0,49%"
"13/04/2015","24,41","24,48","24,64","24,32","5,61M","-0,29%"
"14/04/2015","24,16","24,40","24,43","23,99","7,65M","-1,02%"
"15/04/2015","24,27","24,00","24,41","23,98","5,73M","0,46%"
"16/04/2015","24,00","24,27","24,28","23,92","7,21M","-1,11%"
"17/04/2015","23,43","23,98","24,17","23,38","11,77M","-2,37%"
"20/04/2015","23,77","23,43","23,77","23,40","8,21M","1,45%"
"21/04/2015","23,50","23,95","23,95","23,49","9,46M","-1,14%"
"22/04/2015","23,48","23,57","23,68","23,11","7,52M","-0,09%"
"23/04/2015","23,11","23,50","23,55","22,96","8,93M","-1,58%"
"24/04/2015","22,87","23,25","23,34","22,73","11,58M","-1,04%"
"27/04/2015","23,32","22,86","23,45","22,43","9,06M","1,97%"
"28/04/2015","22,50","23,28","23,30","22,36","12,91M","-3,52%"
"29/04/2015","22,25","22,64","22,73","22,08","9,75M","-1,11%"
"30/04/2015","22,61","22,29","22,72","22,07","10,22M","1,62%"
"04/05/2015","22,73","22,71","22,96","22,45","5,94M","0,53%"
"05/05/2015","22,27","22,79","23,11","22,18","12,80M","-2,02%"
"06/05/2015","22,54","22,16","22,80","22,16","11,03M","1,21%"
"07/05/2015","23,18","22,69","23,46","22,43","16,75M","2,84%"
"08/05/2015","23,45","23,36","23,47","23,00","8,72M","1,16%"
"11/05/2015","22,32","22,53","22,54","22,27","8,68M","-4,82%"
"12/05/2015","22,16","22,16","22,27","21,91","9,19M","-0,72%"
"13/05/2015","22,47","22,45","22,75","22,30","10,06M","1,40%"
"14/05/2015","22,76","22,64","22,88","22,18","5,94M","1,29%"
"15/05/2015","22,79","22,91","23,14","22,61","8,28M","0,13%"
"18/05/2015","22,82","22,91","23,02","22,37","6,83M","0,13%"
"19/05/2015","23,66","23,00","23,73","22,91","11,62M","3,68%"
