"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","49,43","49,69","50,12","48,83","2,63M","0,35%"
"05/01/2015","47,03","48,98","49,38","46,92","6,25M","-4,86%"
"06/01/2015","45,80","47,05","47,22","45,80","5,60M","-2,62%"
"07/01/2015","45,03","45,91","46,10","44,82","6,05M","-1,68%"
"08/01/2015","46,49","45,96","46,99","45,24","6,13M","3,24%"
"09/01/2015","44,94","46,40","46,65","44,34","6,70M","-3,33%"
"12/01/2015","45,30","45,09","45,48","44,10","6,07M","0,80%"
"13/01/2015","46,34","44,80","46,72","44,62","4,44M","2,30%"
"14/01/2015","44,94","45,56","46,62","44,86","6,12M","-3,02%"
"15/01/2015","46,09","45,41","46,38","43,14","7,70M","2,56%"
"16/01/2015","45,99","45,74","46,26","45,03","6,90M","-0,22%"
"19/01/2015","46,62","46,17","47,08","45,67","4,23M","1,37%"
"20/01/2015","47,74","46,98","47,95","46,94","5,72M","2,40%"
"21/01/2015","48,27","48,01","48,48","46,98","6,27M","1,11%"
"22/01/2015","49,40","48,49","50,00","48,02","8,32M","2,34%"
"23/01/2015","49,00","50,07","51,18","48,75","8,99M","-0,81%"
"26/01/2015","49,33","48,75","49,63","48,30","4,87M","0,67%"
"27/01/2015","48,84","49,40","49,47","47,94","5,01M","-0,99%"
"28/01/2015","47,50","49,28","49,39","47,15","6,09M","-2,74%"
"29/01/2015","47,65","47,10","47,80","46,62","5,36M","0,32%"
"30/01/2015","46,77","48,00","48,35","46,27","6,70M","-1,85%"
"02/02/2015","47,20","46,63","47,25","45,73","6,41M","0,92%"
"03/02/2015","48,41","47,74","48,65","47,52","6,33M","2,56%"
"04/02/2015","48,80","48,62","49,42","48,02","5,92M","0,81%"
"05/02/2015","47,01","47,60","47,64","46,39","9,15M","-3,67%"
"06/02/2015","47,17","47,28","47,28","46,31","5,46M","0,34%"
"09/02/2015","45,70","46,23","46,42","45,30","8,13M","-3,12%"
"10/02/2015","46,17","45,85","46,85","45,54","5,95M","1,03%"
"11/02/2015","46,06","46,45","46,66","45,80","3,90M","-0,24%"
"12/02/2015","47,25","45,91","47,48","45,75","6,47M","2,58%"
"13/02/2015","48,41","47,68","48,87","47,58","7,05M","2,46%"
"16/02/2015","49,17","48,30","49,44","48,28","5,09M","1,57%"
"17/02/2015","49,52","48,62","49,78","48,21","5,42M","0,71%"
"18/02/2015","50,91","49,90","51,19","49,80","5,92M","2,81%"
"19/02/2015","51,43","50,78","51,57","49,92","4,67M","1,02%"
"20/02/2015","51,29","51,24","51,52","50,27","6,49M","-0,27%"
"23/02/2015","51,76","51,91","52,26","51,33","4,43M","0,92%"
"24/02/2015","51,98","51,92","52,23","51,29","4,01M","0,43%"
"25/02/2015","51,00","51,73","51,80","50,79","4,39M","-1,89%"
"26/02/2015","51,61","50,95","51,92","50,95","3,62M","1,20%"
"27/02/2015","52,09","51,61","52,12","51,45","3,95M","0,93%"
"02/03/2015","52,54","52,00","52,75","51,98","3,57M","0,86%"
"03/03/2015","50,91","52,72","52,81","50,91","4,70M","-3,10%"
"04/03/2015","51,92","50,96","51,97","50,92","4,03M","1,98%"
"05/03/2015","52,14","51,88","52,34","51,64","3,85M","0,42%"
"06/03/2015","52,08","52,11","52,52","51,76","3,18M","-0,12%"
"09/03/2015","51,96","51,75","52,28","51,40","2,94M","-0,23%"
"10/03/2015","51,04","51,93","52,09","50,83","4,55M","-1,77%"
"11/03/2015","52,01","51,19","52,20","51,19","4,41M","1,90%"
"12/03/2015","51,60","51,98","52,19","51,39","3,56M","-0,79%"
"13/03/2015","51,68","51,76","51,88","51,28","2,97M","0,16%"
"16/03/2015","52,44","51,79","52,71","51,79","4,38M","1,47%"
"17/03/2015","52,28","52,60","52,86","51,86","4,09M","-0,31%"
"18/03/2015","52,25","52,50","52,70","51,74","4,81M","-0,06%"
"19/03/2015","52,96","52,18","53,14","52,18","5,46M","1,36%"
"20/03/2015","53,98","53,00","54,35","52,82","7,65M","1,93%"
"23/03/2015","54,54","53,91","55,04","53,55","5,03M","1,04%"
"24/03/2015","55,80","54,62","55,95","54,30","4,92M","2,31%"
"25/03/2015","54,85","55,70","56,00","54,81","4,49M","-1,70%"
"26/03/2015","55,12","54,39","55,12","53,70","5,40M","0,49%"
"27/03/2015","56,19","55,57","56,57","55,37","6,94M","1,94%"
"30/03/2015","57,26","56,60","57,49","56,57","5,31M","1,90%"
"31/03/2015","56,57","57,00","57,55","56,36","5,11M","-1,21%"
"01/04/2015","57,03","55,98","57,70","55,88","4,82M","0,81%"
"02/04/2015","57,24","57,00","57,52","57,00","2,59M","0,37%"
"07/04/2015","57,18","57,28","57,69","57,00","4,31M","-0,10%"
"08/04/2015","57,67","57,29","57,89","57,25","4,17M","0,86%"
