"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","18,41","18,40","18,65","18,30","412,83K","0,55%"
"05/01/2015","17,59","18,39","18,40","17,57","510,45K","-4,45%"
"06/01/2015","17,46","17,64","17,65","17,31","463,75K","-0,74%"
"07/01/2015","17,50","17,63","17,86","17,40","651,42K","0,23%"
"08/01/2015","17,93","17,61","18,01","17,61","408,43K","2,46%"
"09/01/2015","17,95","17,88","18,06","17,85","454,66K","0,11%"
"12/01/2015","17,55","17,95","17,95","17,35","698,19K","-2,23%"
"13/01/2015","18,00","17,48","18,07","17,47","547,59K","2,56%"
"14/01/2015","17,48","17,75","17,97","17,45","438,60K","-2,89%"
"15/01/2015","18,06","17,66","18,14","17,59","707,20K","3,32%"
"16/01/2015","18,23","18,05","18,23","17,70","609,03K","0,94%"
"19/01/2015","18,27","18,25","18,38","18,12","427,15K","0,22%"
"20/01/2015","18,27","18,32","18,50","18,18","527,06K","0,00%"
"21/01/2015","17,91","18,26","18,26","17,40","1,22M","-1,97%"
"22/01/2015","18,14","17,80","18,30","17,77","681,01K","1,28%"
"23/01/2015","18,70","18,33","19,02","18,32","1,34M","3,09%"
"26/01/2015","18,97","18,61","19,07","18,61","741,17K","1,44%"
"27/01/2015","18,77","18,97","19,01","18,62","492,34K","-1,05%"
"28/01/2015","18,73","18,84","18,98","18,57","467,69K","-0,21%"
"29/01/2015","19,01","18,68","19,05","18,61","1,03M","1,49%"
"30/01/2015","18,82","19,07","19,11","18,82","692,80K","-1,00%"
"02/02/2015","18,45","18,84","18,96","18,36","612,06K","-1,97%"
"03/02/2015","18,78","18,47","18,83","18,39","631,80K","1,79%"
"04/02/2015","18,94","18,84","19,02","18,80","518,48K","0,85%"
"05/02/2015","19,32","18,80","19,35","18,70","623,64K","2,01%"
"06/02/2015","19,64","19,32","19,66","19,29","588,04K","1,66%"
"09/02/2015","19,45","19,55","19,68","19,35","413,07K","-0,97%"
"10/02/2015","19,45","19,50","19,57","19,39","315,75K","0,00%"
"11/02/2015","19,45","19,55","19,55","19,39","357,79K","0,00%"
"12/02/2015","19,52","19,40","19,52","19,39","493,63K","0,36%"
"13/02/2015","19,63","19,61","19,73","19,54","458,31K","0,56%"
"16/02/2015","19,63","19,68","19,74","19,50","344,47K","0,00%"
"17/02/2015","19,73","19,62","19,87","19,50","450,86K","0,51%"
"18/02/2015","19,82","19,75","19,97","19,75","443,19K","0,46%"
"19/02/2015","19,92","19,82","20,03","19,75","738,63K","0,50%"
"20/02/2015","20,12","19,88","20,16","19,87","455,11K","1,00%"
"23/02/2015","20,20","20,18","20,28","20,13","606,43K","0,40%"
"24/02/2015","19,90","20,20","20,21","19,85","734,01K","-1,49%"
"25/02/2015","19,57","19,84","19,90","19,55","661,55K","-1,66%"
"26/02/2015","21,09","19,65","21,24","19,65","1,44M","7,77%"
"27/02/2015","21,06","21,00","21,43","20,88","1,09M","-0,14%"
"02/03/2015","20,89","21,00","21,02","20,19","1,01M","-0,81%"
"03/03/2015","20,57","20,87","20,95","20,55","770,08K","-1,53%"
"04/03/2015","20,89","20,65","20,89","20,48","942,00K","1,56%"
"05/03/2015","21,11","20,89","21,14","20,77","541,67K","1,05%"
"06/03/2015","20,21","20,35","20,40","20,02","3,03M","-4,26%"
"09/03/2015","20,18","20,29","20,37","20,11","746,26K","-0,15%"
"10/03/2015","20,14","20,38","20,45","20,12","1,19M","-0,20%"
"11/03/2015","20,23","20,21","20,36","20,17","2,23M","0,45%"
"12/03/2015","20,24","20,32","20,33","20,18","1,00M","0,05%"
"13/03/2015","20,34","20,33","20,35","20,24","1,31M","0,49%"
"16/03/2015","20,32","20,33","20,38","20,21","1,13M","-0,10%"
"17/03/2015","20,25","20,39","20,40","20,22","628,78K","-0,34%"
"18/03/2015","20,34","20,23","20,34","20,23","849,60K","0,44%"
"19/03/2015","20,32","20,33","20,34","20,29","1,09M","-0,10%"
"20/03/2015","20,30","20,33","20,34","20,30","1,22M","-0,10%"
"23/03/2015","20,32","20,33","20,34","20,27","664,25K","0,10%"
"24/03/2015","20,30","20,34","20,34","20,21","806,62K","-0,10%"
"25/03/2015","20,16","20,25","20,32","20,10","682,11K","-0,69%"
"26/03/2015","19,97","20,06","20,20","19,86","845,06K","-0,94%"
"27/03/2015","19,96","20,04","20,04","19,89","667,42K","-0,05%"
"30/03/2015","20,16","20,00","20,34","19,98","485,82K","1,00%"
"31/03/2015","19,99","20,15","20,23","19,91","846,77K","-0,84%"
"01/04/2015","20,32","19,98","20,32","19,95","953,68K","1,65%"
"02/04/2015","20,25","20,32","20,32","20,05","525,12K","-0,34%"
"07/04/2015","20,32","20,37","20,37","20,30","745,53K","0,35%"
"08/04/2015","20,33","20,35","20,36","20,30","610,51K","0,05%"
"09/04/2015","20,41","20,40","20,43","20,30","2,05M","0,39%"
"10/04/2015","20,59","20,48","20,61","20,47","1,19M","0,88%"
"13/04/2015","20,68","20,59","20,71","20,57","756,71K","0,44%"
"14/04/2015","20,66","20,61","20,70","20,61","554,63K","-0,10%"
"15/04/2015","20,69","20,68","20,72","20,62","957,18K","0,15%"
"16/04/2015","20,77","20,71","20,84","20,64","721,88K","0,39%"
"17/04/2015","20,80","20,79","20,89","20,64","726,77K","0,14%"
