"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/10/2025","16,59","16,34","16,67","16,30","4,24M","0,67%"
"13/10/2025","16,48","16,53","16,61","16,42","3,79M","-0,30%"
"10/10/2025","16,53","16,67","16,86","16,47","4,59M","-0,60%"
"09/10/2025","16,63","16,52","16,81","16,51","3,83M","0,91%"
"08/10/2025","16,48","16,33","16,64","16,32","4,05M","1,10%"
"07/10/2025","16,30","16,30","16,39","16,20","4,12M","-0,21%"
"06/10/2025","16,33","16,69","16,74","15,93","8,64M","-3,43%"
"03/10/2025","16,92","17,05","17,13","16,78","4,09M","-0,21%"
"02/10/2025","16,95","17,10","17,15","16,93","3,65M","-0,41%"
"01/10/2025","17,02","16,77","17,15","16,70","6,27M","1,79%"
"30/09/2025","16,72","16,93","16,97","16,67","3,54M","-1,30%"
"29/09/2025","16,94","16,92","17,01","16,84","2,94M","0,27%"
"26/09/2025","16,90","16,60","16,93","16,60","4,25M","2,52%"
"25/09/2025","16,48","16,57","16,61","16,36","3,80M","-0,81%"
"24/09/2025","16,61","16,75","16,76","16,54","2,40M","-0,89%"
"23/09/2025","16,76","16,70","16,84","16,59","3,59M","0,93%"
"22/09/2025","16,61","16,56","16,66","16,45","3,49M","0,48%"
"19/09/2025","16,53","16,49","16,57","16,41","5,45M","1,41%"
"18/09/2025","16,30","16,36","16,43","16,23","2,66M","0,18%"
"17/09/2025","16,27","16,50","16,52","16,21","3,41M","-1,09%"
"16/09/2025","16,45","16,73","16,74","16,44","3,48M","-1,76%"
"15/09/2025","16,75","16,58","16,89","16,51","3,24M","1,76%"
"12/09/2025","16,45","16,53","16,56","16,34","2,19M","-0,21%"
"11/09/2025","16,49","16,34","16,51","16,28","3,51M","1,17%"
"10/09/2025","16,30","16,17","16,42","16,09","4,81M","1,46%"
"09/09/2025","16,07","16,00","16,08","15,92","3,00M","0,78%"
"08/09/2025","15,94","15,70","15,97","15,70","3,87M","1,59%"
"05/09/2025","15,69","15,98","16,00","15,68","5,05M","-1,20%"
"04/09/2025","15,88","15,49","15,96","15,46","5,55M","2,35%"
"03/09/2025","15,52","15,36","15,53","15,30","3,86M","0,71%"
"02/09/2025","15,40","15,61","15,65","15,29","5,27M","-1,38%"
"01/09/2025","15,62","15,64","15,68","15,53","3,18M","-0,06%"
"29/08/2025","15,63","15,66","15,66","15,47","4,48M","-0,38%"
"28/08/2025","15,69","15,63","15,82","15,52","5,26M","0,84%"
"27/08/2025","15,56","15,60","15,74","15,45","5,57M","-0,58%"
"26/08/2025","15,65","16,24","16,28","15,38","15,47M","-5,44%"
"25/08/2025","16,55","17,00","17,00","16,48","4,18M","-2,96%"
"22/08/2025","17,06","16,99","17,09","16,94","2,46M","0,50%"
"21/08/2025","16,97","16,97","17,02","16,82","2,83M","-0,76%"
"20/08/2025","17,10","16,95","17,13","16,88","3,37M","0,88%"
"19/08/2025","16,95","16,83","17,01","16,83","2,08M","0,95%"
"18/08/2025","16,79","17,10","17,12","16,68","3,36M","-1,87%"
"15/08/2025","17,11","17,18","17,25","17,10","2,58M","-0,15%"
"14/08/2025","17,14","17,08","17,16","17,01","2,95M","0,62%"
"13/08/2025","17,03","17,02","17,08","16,93","2,83M","0,18%"
"12/08/2025","17,00","17,09","17,14","17,00","3,12M","-0,26%"
"11/08/2025","17,05","16,99","17,06","16,86","4,25M","0,74%"
"08/08/2025","16,92","16,45","16,97","16,43","5,58M","3,20%"
"07/08/2025","16,40","16,32","16,47","16,32","3,47M","0,71%"
"06/08/2025","16,28","16,16","16,32","16,13","3,22M","1,24%"
"05/08/2025","16,08","16,19","16,19","16,01","2,61M","0,16%"
"04/08/2025","16,06","15,98","16,15","15,93","4,27M","0,85%"
