"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","60,12","59,53","60,48","59,11","378,73K","1,08%"
"05/01/2015","59,32","59,68","60,99","59,24","563,72K","-1,33%"
"06/01/2015","57,03","59,41","59,66","57,03","820,26K","-3,86%"
"07/01/2015","57,27","57,41","58,19","57,07","508,55K","0,42%"
"08/01/2015","58,90","58,32","59,10","57,88","678,19K","2,85%"
"09/01/2015","59,26","58,95","59,97","58,95","709,14K","0,61%"
"12/01/2015","59,96","59,58","60,69","59,15","572,47K","1,18%"
"13/01/2015","59,31","59,87","60,05","59,11","558,62K","-1,08%"
"14/01/2015","58,69","58,83","59,73","58,40","519,69K","-1,05%"
"15/01/2015","60,89","59,28","60,89","57,59","926,03K","3,75%"
"16/01/2015","60,82","60,48","60,95","59,62","736,27K","-0,11%"
"19/01/2015","61,25","60,60","61,77","60,15","635,01K","0,71%"
"20/01/2015","61,13","61,16","61,30","60,40","532,79K","-0,20%"
"21/01/2015","60,81","61,10","61,24","60,17","798,90K","-0,52%"
"22/01/2015","62,65","60,50","62,98","60,29","945,64K","3,03%"
"23/01/2015","63,90","63,00","64,68","62,85","1,11M","2,00%"
"26/01/2015","65,20","63,71","65,38","63,59","664,21K","2,03%"
"27/01/2015","63,64","65,03","65,12","63,11","794,81K","-2,39%"
"28/01/2015","63,50","64,21","64,36","62,82","598,23K","-0,22%"
"29/01/2015","64,26","63,40","64,38","63,18","494,83K","1,20%"
"30/01/2015","64,57","64,49","64,76","63,86","600,76K","0,48%"
"02/02/2015","64,19","64,66","64,96","63,40","586,09K","-0,59%"
"03/02/2015","64,27","64,28","65,18","64,04","689,38K","0,12%"
"04/02/2015","65,22","64,27","65,22","63,78","522,15K","1,48%"
"05/02/2015","65,45","64,95","65,90","64,70","351,61K","0,35%"
"06/02/2015","65,38","65,30","65,60","64,60","580,60K","-0,11%"
"09/02/2015","64,96","64,80","65,30","64,16","417,79K","-0,64%"
"10/02/2015","65,90","65,33","66,06","64,78","581,41K","1,45%"
"11/02/2015","64,98","65,78","65,88","64,73","471,47K","-1,40%"
"12/02/2015","65,69","65,05","66,10","64,94","649,56K","1,09%"
"13/02/2015","65,65","65,88","66,33","65,44","451,46K","-0,06%"
"16/02/2015","66,14","65,55","66,53","65,45","412,40K","0,75%"
"17/02/2015","64,63","65,97","65,97","64,62","651,11K","-2,28%"
"18/02/2015","64,84","64,76","65,41","64,58","598,04K","0,32%"
"19/02/2015","67,99","67,00","69,94","66,83","1,85M","4,86%"
"20/02/2015","68,04","67,99","69,02","67,15","1,14M","0,07%"
"23/02/2015","69,23","68,41","70,04","68,41","1,08M","1,75%"
"24/02/2015","70,49","69,56","70,94","69,40","1,07M","1,82%"
"25/02/2015","70,15","70,43","70,59","69,75","724,70K","-0,48%"
"26/02/2015","71,70","70,13","71,75","70,04","891,63K","2,21%"
"27/02/2015","72,27","71,55","72,40","71,20","867,91K","0,79%"
"02/03/2015","72,54","72,43","72,70","72,06","614,06K","0,37%"
"03/03/2015","72,68","72,51","73,64","72,51","939,90K","0,19%"
"04/03/2015","72,77","72,91","73,00","71,98","780,59K","0,12%"
"05/03/2015","73,23","72,85","73,51","72,60","776,40K","0,63%"
"06/03/2015","73,06","73,25","73,50","72,12","814,16K","-0,23%"
"09/03/2015","72,90","72,87","73,04","72,10","508,27K","-0,22%"
"10/03/2015","72,66","72,88","73,75","72,55","592,31K","-0,33%"
"11/03/2015","74,61","72,83","74,90","72,83","565,48K","2,68%"
"12/03/2015","74,85","74,39","75,22","74,08","524,67K","0,32%"
"13/03/2015","75,65","75,83","76,20","74,79","592,77K","1,07%"
"16/03/2015","76,42","75,97","76,88","75,88","498,43K","1,02%"
"17/03/2015","75,62","76,57","76,76","75,14","590,76K","-1,05%"
"18/03/2015","75,44","75,83","76,21","74,97","566,19K","-0,24%"
"19/03/2015","76,37","75,47","76,48","75,08","520,50K","1,23%"
"20/03/2015","76,02","76,41","76,57","75,74","786,88K","-0,46%"
"23/03/2015","76,25","76,19","76,48","75,67","493,78K","0,30%"
"24/03/2015","76,77","76,27","76,97","75,99","484,01K","0,68%"
"25/03/2015","73,99","76,27","76,56","73,99","1,16M","-3,62%"
"26/03/2015","75,11","73,37","75,31","71,96","1,32M","1,51%"
"27/03/2015","76,63","75,69","77,29","75,43","934,49K","2,02%"
"30/03/2015","78,12","77,14","78,26","77,14","725,55K","1,94%"
"31/03/2015","76,37","78,00","78,10","76,04","834,77K","-2,24%"
"01/04/2015","76,75","75,92","77,77","75,58","426,72K","0,50%"
