"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/10/2025","13,000","12,960","13,100","12,935","2,33M","0,31%"
"13/10/2025","12,960","13,000","13,075","12,940","1,81M","0,27%"
"10/10/2025","12,925","12,955","13,155","12,925","2,45M","0,23%"
"09/10/2025","12,895","12,815","13,020","12,815","1,90M","0,66%"
"08/10/2025","12,810","12,825","12,985","12,810","2,30M","0,08%"
"07/10/2025","12,800","12,940","12,950","12,700","2,40M","-0,66%"
"06/10/2025","12,885","13,135","13,135","12,575","3,35M","-1,72%"
"03/10/2025","13,110","13,050","13,155","13,045","2,68M","0,46%"
"02/10/2025","13,050","12,815","13,070","12,795","3,44M","1,64%"
"01/10/2025","12,840","12,855","12,920","12,805","3,21M","-0,43%"
"30/09/2025","12,895","12,805","12,900","12,745","2,74M","0,74%"
"29/09/2025","12,800","12,715","12,820","12,685","2,12M","0,47%"
"26/09/2025","12,740","12,585","12,780","12,585","4,20M","1,43%"
"25/09/2025","12,560","12,500","12,585","12,470","3,34M","0,48%"
"24/09/2025","12,500","12,205","12,570","12,205","3,69M","2,21%"
"23/09/2025","12,230","12,000","12,230","12,000","2,65M","2,34%"
"22/09/2025","11,950","12,140","12,190","11,950","2,72M","-1,81%"
"19/09/2025","12,170","12,130","12,315","12,130","9,70M","0,33%"
"18/09/2025","12,130","12,100","12,315","12,020","2,34M","-0,04%"
"17/09/2025","12,135","12,105","12,140","12,025","1,96M","0,79%"
"16/09/2025","12,040","12,135","12,135","11,940","3,02M","-0,78%"
"15/09/2025","12,135","12,200","12,330","12,130","2,50M","-0,21%"
"12/09/2025","12,160","12,225","12,230","12,145","1,88M","-0,82%"
"11/09/2025","12,260","12,140","12,330","12,120","2,37M","1,07%"
"10/09/2025","12,130","12,260","12,320","12,085","1,99M","-1,18%"
"09/09/2025","12,275","12,285","12,365","12,225","1,43M","0,49%"
"08/09/2025","12,215","12,285","12,345","12,140","1,54M","-0,69%"
"05/09/2025","12,300","12,385","12,390","12,260","1,51M","-0,53%"
"04/09/2025","12,365","12,275","12,490","12,225","2,20M","1,19%"
"03/09/2025","12,220","12,180","12,220","12,135","2,03M","0,33%"
"02/09/2025","12,180","12,220","12,220","12,075","2,27M","-0,45%"
"01/09/2025","12,235","12,395","12,395","12,215","1,73M","-1,05%"
"29/08/2025","12,365","12,425","12,450","12,295","1,42M","-0,36%"
"28/08/2025","12,410","12,400","12,530","12,380","1,99M","0,40%"
"27/08/2025","12,360","12,630","12,670","12,235","4,37M","-2,41%"
"26/08/2025","12,665","12,805","12,825","12,625","5,64M","-2,01%"
"25/08/2025","12,925","13,045","13,065","12,880","1,54M","-1,07%"
"22/08/2025","13,065","13,185","13,190","13,055","1,14M","-0,72%"
"21/08/2025","13,160","13,160","13,190","13,095","1,63M","0,19%"
"20/08/2025","13,135","13,065","13,165","13,035","2,27M","1,04%"
"19/08/2025","13,000","12,835","13,060","12,790","2,66M","1,68%"
"18/08/2025","12,785","12,850","12,965","12,765","1,56M","-0,16%"
"15/08/2025","12,805","12,800","12,875","12,785","1,79M","0,31%"
"14/08/2025","12,765","12,745","12,765","12,625","1,30M","0,31%"
"13/08/2025","12,725","12,740","12,785","12,620","1,90M","-0,27%"
"12/08/2025","12,760","12,730","12,815","12,715","1,77M","0,43%"
"11/08/2025","12,705","12,700","12,785","12,695","1,32M","0,43%"
"08/08/2025","12,650","12,550","12,755","12,550","2,44M","1,28%"
"07/08/2025","12,490","12,445","12,545","12,390","1,58M","0,48%"
"06/08/2025","12,430","12,340","12,520","12,290","1,74M","0,61%"
"05/08/2025","12,355","12,320","12,355","12,255","1,53M","0,45%"
"04/08/2025","12,300","12,360","12,390","12,290","2,14M","-0,40%"
"01/08/2025","12,350","12,575","12,575","12,350","2,66M","-1,75%"
"31/07/2025","12,570","12,540","12,580","12,465","2,64M","-0,08%"
"30/07/2025","12,580","12,625","12,750","12,580","1,96M","-0,59%"
"29/07/2025","12,655","12,650","12,820","12,650","2,15M","-0,28%"
"28/07/2025","12,690","13,040","13,050","12,590","3,40M","-2,12%"
"25/07/2025","12,965","12,720","13,235","12,565","7,88M","5,54%"
"24/07/2025","12,285","12,420","12,420","12,240","2,11M","-0,08%"
"23/07/2025","12,295","12,305","12,365","12,215","2,53M","1,15%"
"22/07/2025","12,155","12,150","12,235","12,110","2,32M","0,25%"
"21/07/2025","12,125","12,190","12,240","12,040","2,98M","-0,29%"
"18/07/2025","12,160","12,185","12,290","12,125","2,58M","0,62%"
"17/07/2025","12,085","12,095","12,140","12,055","2,56M","0,29%"
"16/07/2025","12,050","12,185","12,220","11,990","2,86M","-1,19%"
"15/07/2025","12,195","12,220","12,280","12,155","1,81M","-0,53%"
"14/07/2025","12,260","12,240","12,350","12,220","1,58M","-0,20%"
"11/07/2025","12,285","12,450","12,475","12,260","1,76M","-1,01%"
"10/07/2025","12,410","12,450","12,535","12,350","2,73M","-0,48%"
"09/07/2025","12,470","12,290","12,485","12,280","2,07M","1,34%"
"08/07/2025","12,305","12,310","12,395","12,265","3,15M","-0,28%"
"07/07/2025","12,340","12,320","12,400","12,245","2,34M","0,49%"
"04/07/2025","12,280","12,240","12,330","12,180","1,47M","-0,45%"
"03/07/2025","12,335","12,310","12,490","12,310","2,87M","0,16%"
"02/07/2025","12,315","12,250","12,420","12,180","3,81M","0,65%"
"01/07/2025","12,235","12,090","12,305","12,040","4,45M","2,21%"
"30/06/2025","11,970","11,845","11,980","11,770","4,66M","1,14%"
"27/06/2025","11,835","11,720","11,835","11,665","4,29M","0,72%"
"26/06/2025","11,750","12,580","12,660","11,580","17,78M","-7,81%"
"25/06/2025","12,745","12,860","12,965","12,740","2,13M","-1,24%"
"24/06/2025","12,905","12,850","12,970","12,815","3,24M","1,26%"
"23/06/2025","12,745","12,680","12,810","12,615","2,02M","0,00%"
"20/06/2025","12,745","12,705","12,745","12,640","5,49M","0,91%"
"19/06/2025","12,630","12,785","12,810","12,630","1,80M","-1,37%"
"18/06/2025","12,805","12,810","12,845","12,743","2,11M","-0,12%"
"17/06/2025","12,820","12,810","12,910","12,790","2,72M","-0,50%"
"16/06/2025","12,885","12,815","12,980","12,800","2,38M","0,55%"
"13/06/2025","12,815","12,650","12,870","12,645","2,97M","0,47%"
"12/06/2025","12,755","12,625","12,815","12,610","2,77M","0,75%"
"11/06/2025","12,660","12,915","12,915","12,660","3,61M","-2,16%"
"10/06/2025","12,940","13,050","13,075","12,890","2,50M","-0,27%"
"09/06/2025","12,975","13,000","13,025","12,945","1,60M","0,27%"
"06/06/2025","12,940","12,880","12,985","12,870","2,08M","0,62%"
"05/06/2025","12,860","12,945","13,000","12,775","3,25M","-0,58%"
"04/06/2025","12,935","13,285","13,320","12,935","3,48M","-2,52%"
"03/06/2025","13,270","13,210","13,385","13,115","2,93M","0,68%"
"02/06/2025","13,180","13,135","13,210","13,060","2,52M","0,11%"
"30/05/2025","13,165","13,120","13,190","13,070","8,34M","-5,96%"
"29/05/2025","14,000","14,157","14,157","13,852","4,53M","-1,25%"
"28/05/2025","14,177","14,349","14,349","14,069","3,04M","-0,96%"
"27/05/2025","14,315","14,305","14,394","14,236","2,42M","0,21%"
"26/05/2025","14,285","14,423","14,438","14,241","1,65M","-0,55%"
"23/05/2025","14,364","14,664","14,890","14,251","5,35M","-3,04%"
"22/05/2025","14,815","14,770","14,842","14,730","3,14M","0,30%"
"21/05/2025","14,770","14,690","14,865","14,645","4,16M","0,65%"
"20/05/2025","14,675","14,390","14,675","14,330","3,69M","2,26%"
"19/05/2025","14,350","14,200","14,370","14,200","2,96M","1,27%"
"16/05/2025","14,170","14,325","14,325","14,125","2,87M","-0,35%"
"15/05/2025","14,220","14,050","14,230","13,985","2,91M","0,96%"
"14/05/2025","14,085","13,725","14,085","13,725","4,72M","2,14%"
"13/05/2025","13,790","13,830","13,885","13,705","2,74M","-0,29%"
"12/05/2025","13,830","13,810","14,005","13,805","3,18M","0,22%"
"09/05/2025","13,800","13,770","13,800","13,680","2,97M","0,40%"
"08/05/2025","13,745","13,765","13,785","13,645","3,00M","0,04%"
"07/05/2025","13,740","13,670","13,835","13,635","3,45M","0,77%"
"06/05/2025","13,635","13,600","13,710","13,570","4,70M","0,55%"
"05/05/2025","13,560","13,695","13,720","13,540","2,97M","-0,77%"
"02/05/2025","13,665","13,750","13,795","13,520","4,06M","0,51%"
"30/04/2025","13,595","13,740","13,810","13,470","5,42M","-0,69%"
"29/04/2025","13,690","13,680","13,805","13,610","3,61M","-0,18%"
"28/04/2025","13,715","13,845","13,905","13,620","3,11M","-0,25%"
"25/04/2025","13,750","13,650","13,895","13,650","2,37M","-0,15%"
"24/04/2025","13,770","13,700","13,865","13,660","3,05M","0,33%"
"23/04/2025","13,725","13,575","13,855","13,570","3,58M","0,48%"
"22/04/2025","13,660","13,380","13,660","13,360","4,24M","3,45%"
"17/04/2025","13,205","13,160","13,265","13,050","4,07M","-0,34%"
"16/04/2025","13,250","13,320","13,450","13,190","4,02M","0,00%"
"15/04/2025","13,250","13,410","13,440","13,145","3,12M","-1,01%"
"14/04/2025","13,385","13,240","13,435","13,215","3,15M","2,21%"
"11/04/2025","13,095","13,110","13,240","13,010","3,11M","0,69%"
"10/04/2025","13,005","13,255","13,300","12,995","3,93M","1,52%"
"09/04/2025","12,810","12,985","13,005","12,700","3,57M","-1,50%"
"08/04/2025","13,005","13,100","13,100","12,820","3,20M","0,23%"
"07/04/2025","12,975","12,890","13,235","12,615","5,93M","-2,04%"
"04/04/2025","13,245","13,560","13,620","13,230","3,74M","-1,93%"
"03/04/2025","13,505","13,365","13,645","13,355","3,28M","1,47%"
"02/04/2025","13,310","13,285","13,520","13,285","2,09M","0,11%"
"01/04/2025","13,295","13,285","13,355","13,220","1,89M","0,57%"
"31/03/2025","13,220","13,180","13,230","13,075","2,67M","-0,26%"
"28/03/2025","13,255","13,055","13,300","13,055","2,67M","1,14%"
"27/03/2025","13,105","12,960","13,180","12,935","2,21M","1,20%"
"26/03/2025","12,950","12,960","12,995","12,835","1,99M","-0,04%"
"25/03/2025","12,955","12,925","13,035","12,895","2,26M","0,66%"
"24/03/2025","12,870","13,300","13,340","12,870","3,62M","-2,83%"
"21/03/2025","13,245","13,340","13,440","13,245","9,20M","-0,45%"
"20/03/2025","13,305","13,225","13,360","13,165","3,33M","0,99%"
