"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","53,86","54,83","54,89","53,60","1,01M","-1,08%"
"05/01/2015","52,48","53,40","54,30","52,42","2,02M","-2,56%"
"06/01/2015","52,32","53,50","53,90","52,32","1,92M","-0,30%"
"07/01/2015","52,93","52,65","53,35","52,25","1,44M","1,17%"
"08/01/2015","54,46","53,49","54,53","53,00","2,17M","2,89%"
"09/01/2015","53,22","54,25","54,45","52,85","2,01M","-2,28%"
"12/01/2015","54,21","53,34","54,44","53,34","1,80M","1,86%"
"13/01/2015","54,47","53,72","54,78","53,51","2,30M","0,48%"
"14/01/2015","53,61","54,09","54,81","53,36","2,24M","-1,58%"
"15/01/2015","54,75","54,02","54,80","51,88","2,97M","2,13%"
"16/01/2015","55,62","54,40","55,97","54,40","2,58M","1,59%"
"19/01/2015","55,72","55,68","56,08","55,52","1,57M","0,18%"
"20/01/2015","56,38","55,60","56,38","55,07","2,14M","1,18%"
"21/01/2015","56,84","56,74","56,99","56,07","2,52M","0,82%"
"22/01/2015","57,72","56,77","57,81","56,30","2,90M","1,55%"
"23/01/2015","60,00","58,25","60,24","58,02","3,60M","3,95%"
"26/01/2015","60,16","59,87","60,49","59,76","2,40M","0,27%"
"27/01/2015","60,07","60,00","60,47","59,52","2,47M","-0,15%"
"28/01/2015","59,88","60,46","60,53","59,58","1,89M","-0,32%"
"29/01/2015","60,16","59,76","60,33","59,65","2,24M","0,47%"
"30/01/2015","59,57","60,48","60,50","59,18","2,86M","-0,98%"
"02/02/2015","59,34","59,74","59,90","59,05","1,80M","-0,39%"
"03/02/2015","59,32","59,54","59,60","59,09","2,57M","-0,03%"
"04/02/2015","59,00","59,08","59,30","58,78","1,82M","-0,54%"
"05/02/2015","59,12","58,74","59,25","58,58","1,49M","0,20%"
"06/02/2015","58,89","59,26","59,27","58,65","1,29M","-0,39%"
"09/02/2015","58,50","58,30","58,66","57,70","1,94M","-0,66%"
"10/02/2015","58,67","58,83","59,21","58,42","1,76M","0,29%"
"11/02/2015","58,67","58,52","58,83","58,30","1,54M","0,00%"
"12/02/2015","58,14","58,44","58,60","57,22","2,54M","-0,90%"
"13/02/2015","57,92","58,50","58,54","57,67","2,40M","-0,38%"
"16/02/2015","57,20","57,64","57,75","56,97","1,85M","-1,24%"
"17/02/2015","57,85","56,91","57,89","56,82","1,85M","1,14%"
"18/02/2015","58,22","58,58","58,58","57,94","1,87M","0,64%"
"19/02/2015","59,15","58,02","59,15","58,02","1,72M","1,60%"
"20/02/2015","60,00","58,56","60,07","57,59","4,98M","1,44%"
"23/02/2015","59,73","59,99","60,00","59,44","2,38M","-0,45%"
"24/02/2015","60,49","59,89","60,70","59,86","2,64M","1,27%"
"25/02/2015","60,47","60,40","60,84","60,18","2,13M","-0,03%"
"26/02/2015","61,85","60,40","61,98","60,09","2,20M","2,28%"
"27/02/2015","62,33","61,58","62,38","61,50","2,31M","0,78%"
"02/03/2015","61,80","62,08","62,29","61,52","1,41M","-0,85%"
"03/03/2015","61,50","61,80","62,38","61,40","1,43M","-0,49%"
"04/03/2015","61,37","61,59","61,78","60,93","2,95M","-0,21%"
"05/03/2015","62,40","61,50","62,55","61,43","1,70M","1,68%"
"06/03/2015","62,42","62,26","62,62","62,05","1,66M","0,03%"
"09/03/2015","61,79","62,00","62,17","61,62","1,21M","-1,01%"
"10/03/2015","60,85","61,61","61,67","60,80","1,42M","-1,52%"
"11/03/2015","61,97","61,20","62,31","61,09","1,93M","1,84%"
"12/03/2015","61,63","61,91","62,02","61,52","933,03K","-0,55%"
"13/03/2015","62,19","61,55","62,20","61,36","1,20M","0,91%"
"16/03/2015","62,66","62,10","62,97","62,06","1,72M","0,76%"
"17/03/2015","62,24","62,42","62,76","61,97","1,46M","-0,67%"
"18/03/2015","62,88","62,08","63,02","61,97","1,48M","1,03%"
"19/03/2015","62,63","62,75","63,18","62,29","1,78M","-0,40%"
"20/03/2015","62,75","62,50","63,09","62,38","2,45M","0,19%"
"23/03/2015","62,66","62,65","62,71","62,03","1,11M","-0,14%"
"24/03/2015","62,98","62,58","63,25","62,45","1,57M","0,51%"
"25/03/2015","62,16","62,80","63,00","62,06","1,40M","-1,30%"
"26/03/2015","62,23","62,11","62,23","61,06","1,98M","0,11%"
"27/03/2015","62,92","62,59","63,19","62,15","1,73M","1,11%"
"30/03/2015","62,69","62,92","63,28","62,56","1,90M","-0,37%"
"31/03/2015","62,62","63,22","63,39","62,29","2,10M","-0,11%"
