"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","10,19","10,15","10,23","10,13","829,67K","0,79%"
"05/01/2015","10,13","10,20","10,37","10,12","1,06M","-0,59%"
"06/01/2015","9,84","10,11","10,20","9,84","1,12M","-2,86%"
"07/01/2015","9,78","9,92","9,92","9,77","1,57M","-0,61%"
"08/01/2015","10,01","9,87","10,02","9,79","1,07M","2,35%"
"09/01/2015","9,91","10,04","10,06","9,86","974,31K","-1,00%"
"12/01/2015","10,01","9,90","10,08","9,88","790,53K","1,01%"
"13/01/2015","9,98","9,99","10,06","9,92","1,21M","-0,30%"
"14/01/2015","9,97","9,95","10,03","9,91","1,12M","-0,10%"
"15/01/2015","10,18","10,05","10,19","9,93","1,34M","2,11%"
"16/01/2015","10,20","10,18","10,26","10,08","918,26K","0,20%"
"19/01/2015","10,31","10,23","10,36","10,21","1,15M","1,08%"
"20/01/2015","10,36","10,30","10,40","10,23","1,37M","0,48%"
"21/01/2015","10,32","10,35","10,35","10,14","1,61M","-0,39%"
"22/01/2015","10,46","10,32","10,50","10,28","1,08M","1,36%"
"23/01/2015","10,72","10,50","10,75","10,46","1,16M","2,49%"
"26/01/2015","10,82","10,68","10,84","10,64","1,25M","0,93%"
"27/01/2015","10,85","10,82","10,90","10,79","1,44M","0,28%"
"28/01/2015","10,91","10,89","11,00","10,86","1,42M","0,55%"
"29/01/2015","10,99","10,88","11,06","10,87","1,27M","0,73%"
"30/01/2015","10,98","11,03","11,04","10,90","1,27M","-0,09%"
"02/02/2015","10,82","10,97","11,07","10,71","1,43M","-1,46%"
"03/02/2015","10,92","10,75","10,94","10,63","1,83M","0,92%"
"04/02/2015","10,95","10,90","11,01","10,84","1,40M","0,27%"
"05/02/2015","11,83","11,18","12,07","11,14","3,42M","8,04%"
"06/02/2015","11,61","11,79","11,80","11,29","2,77M","-1,86%"
"09/02/2015","11,53","11,46","11,61","11,35","2,46M","-0,69%"
"10/02/2015","11,65","11,53","11,68","11,44","2,63M","1,04%"
"11/02/2015","11,66","11,68","11,72","11,61","1,70M","0,09%"
