"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","22,88","22,95","22,98","22,63","292,01K","-0,31%"
"05/01/2015","22,49","22,82","23,00","22,46","329,88K","-1,70%"
"06/01/2015","21,96","22,31","22,34","21,77","724,18K","-2,36%"
"07/01/2015","22,30","22,07","22,43","21,84","504,76K","1,55%"
"08/01/2015","22,30","22,41","22,50","22,11","447,84K","0,00%"
"09/01/2015","22,39","22,27","22,62","22,27","403,65K","0,40%"
"12/01/2015","22,52","22,39","22,56","22,30","438,24K","0,58%"
"13/01/2015","22,66","22,45","22,90","22,37","374,84K","0,62%"
"14/01/2015","22,52","22,55","22,68","22,36","463,89K","-0,62%"
"15/01/2015","22,95","22,59","23,00","22,31","515,99K","1,91%"
"16/01/2015","23,21","22,96","23,27","22,75","452,21K","1,13%"
"19/01/2015","24,05","23,44","24,54","23,44","883,44K","3,62%"
"20/01/2015","24,59","24,10","24,80","24,07","556,90K","2,25%"
"21/01/2015","24,59","24,65","24,73","24,44","598,35K","0,00%"
"22/01/2015","24,84","24,58","24,84","24,18","705,03K","1,02%"
"23/01/2015","26,18","24,86","26,18","24,86","802,00K","5,39%"
"26/01/2015","26,86","26,02","27,15","26,00","1,24M","2,60%"
"27/01/2015","26,02","26,80","26,80","25,59","1,11M","-3,13%"
"28/01/2015","26,15","26,09","26,20","25,73","427,81K","0,50%"
"29/01/2015","25,70","26,00","26,00","25,25","690,95K","-1,72%"
"30/01/2015","25,52","25,84","25,84","25,16","1,16M","-0,70%"
"02/02/2015","25,27","25,52","25,69","25,15","599,11K","-0,98%"
"03/02/2015","25,41","25,39","25,58","25,27","529,30K","0,55%"
"04/02/2015","25,89","25,45","25,89","25,15","577,02K","1,89%"
"05/02/2015","25,61","25,84","25,84","25,28","668,84K","-1,08%"
"06/02/2015","25,55","25,58","25,75","25,36","497,04K","-0,23%"
"09/02/2015","25,40","25,50","25,55","25,05","470,29K","-0,59%"
"10/02/2015","25,50","25,39","25,75","25,35","601,84K","0,39%"
"11/02/2015","25,52","25,50","25,71","25,32","421,21K","0,08%"
"12/02/2015","24,96","25,50","25,55","24,31","1,06M","-2,19%"
"13/02/2015","24,34","24,98","24,98","24,09","882,17K","-2,48%"
"16/02/2015","24,09","24,10","24,20","23,92","651,91K","-1,03%"
"17/02/2015","24,27","24,07","24,32","23,95","527,11K","0,75%"
"18/02/2015","24,38","24,30","24,67","24,23","552,77K","0,45%"
"19/02/2015","24,49","24,43","24,57","24,24","505,18K","0,45%"
"20/02/2015","23,79","24,07","24,15","23,54","802,08K","-2,86%"
"23/02/2015","24,02","23,83","24,07","23,77","477,17K","0,97%"
"24/02/2015","24,16","24,02","24,45","23,99","462,46K","0,58%"
"25/02/2015","24,00","24,16","24,23","23,88","392,41K","-0,66%"
"26/02/2015","24,27","23,98","24,32","23,77","363,06K","1,13%"
"27/02/2015","24,38","24,23","24,46","24,18","454,36K","0,45%"
"02/03/2015","24,13","24,35","24,35","24,00","581,45K","-1,03%"
"03/03/2015","23,95","24,08","24,23","23,95","426,92K","-0,75%"
"04/03/2015","23,95","23,95","24,00","23,69","432,00K","0,00%"
"05/03/2015","24,73","23,95","24,75","23,80","767,60K","3,26%"
"06/03/2015","24,67","24,65","24,90","24,50","417,54K","-0,24%"
"09/03/2015","24,25","24,67","24,72","24,24","488,80K","-1,70%"
"10/03/2015","23,80","24,25","24,34","23,78","515,60K","-1,86%"
"11/03/2015","24,02","23,85","24,02","23,73","642,68K","0,92%"
"12/03/2015","24,54","24,02","24,54","24,02","832,57K","2,16%"
"13/03/2015","24,34","24,52","24,82","24,34","609,90K","-0,81%"
"16/03/2015","23,62","24,32","24,36","23,37","835,77K","-2,96%"
"17/03/2015","23,39","23,63","23,66","23,30","617,38K","-0,97%"
"18/03/2015","23,36","23,39","23,55","23,27","705,03K","-0,13%"
"19/03/2015","23,65","23,37","23,75","23,29","595,21K","1,24%"
"20/03/2015","23,91","23,70","24,01","23,62","517,67K","1,10%"
"23/03/2015","23,52","23,88","23,90","23,38","408,37K","-1,63%"
"24/03/2015","23,70","23,50","23,72","23,27","607,13K","0,77%"
"25/03/2015","23,28","23,68","23,73","23,12","557,14K","-1,77%"
"26/03/2015","23,68","23,25","23,68","22,52","969,79K","1,72%"
"27/03/2015","23,80","23,68","23,85","23,43","555,18K","0,51%"
"30/03/2015","23,71","23,77","24,24","23,66","534,13K","-0,38%"
"31/03/2015","23,21","23,71","23,82","22,98","974,91K","-2,11%"
"01/04/2015","23,59","23,18","23,67","22,90","845,10K","1,64%"
"02/04/2015","23,00","23,46","23,48","22,64","961,56K","-2,50%"
"07/04/2015","23,39","23,00","23,40","22,95","631,51K","1,70%"
"08/04/2015","23,59","23,39","23,73","23,11","523,86K","0,86%"
"09/04/2015","24,20","23,50","24,24","23,50","863,44K","2,59%"
"10/04/2015","24,39","24,22","24,57","24,16","666,68K","0,79%"
"13/04/2015","24,30","24,39","24,58","24,16","631,01K","-0,37%"
"14/04/2015","24,21","24,30","24,30","24,00","477,30K","-0,37%"
"15/04/2015","24,75","24,40","24,87","24,21","832,51K","2,23%"
"16/04/2015","25,01","24,65","25,23","24,45","870,76K","1,05%"
"17/04/2015","24,53","24,96","25,07","24,48","704,81K","-1,92%"
"20/04/2015","24,32","24,50","24,61","24,23","584,39K","-0,86%"
"21/04/2015","24,83","24,36","24,85","24,36","624,90K","2,10%"
"22/04/2015","24,49","24,85","24,93","24,43","711,88K","-1,37%"
"23/04/2015","24,40","24,50","24,62","24,18","539,03K","-0,37%"
"24/04/2015","24,45","24,42","24,75","24,37","490,64K","0,20%"
"27/04/2015","24,30","24,48","24,48","24,07","724,11K","-0,61%"
"28/04/2015","24,05","24,27","24,27","23,88","680,42K","-1,03%"
"29/04/2015","23,68","24,15","24,30","23,59","662,67K","-1,54%"
"30/04/2015","23,91","23,69","23,95","23,27","874,03K","0,97%"
"04/05/2015","24,36","23,95","24,58","23,93","527,38K","1,88%"
"05/05/2015","24,02","24,40","24,80","24,02","544,14K","-1,40%"
"06/05/2015","24,00","24,02","24,14","23,75","578,02K","-0,08%"
"07/05/2015","24,00","23,98","24,09","23,82","581,01K","0,00%"
"08/05/2015","24,14","24,18","24,48","24,07","639,68K","0,58%"
"11/05/2015","24,36","24,14","24,43","24,07","507,67K","0,91%"
"12/05/2015","23,25","23,60","23,67","23,20","696,47K","-4,56%"
"13/05/2015","23,48","23,30","23,64","23,17","724,74K","0,99%"
"14/05/2015","23,50","23,48","23,63","23,30","347,03K","0,09%"
"15/05/2015","23,45","23,55","23,68","23,45","481,00K","-0,21%"
"18/05/2015","23,02","23,00","23,02","22,57","1,15M","-1,83%"
"19/05/2015","23,11","23,09","23,53","22,98","901,76K","0,39%"
"20/05/2015","23,08","23,10","23,13","22,93","410,37K","-0,13%"
"21/05/2015","23,61","23,08","23,71","22,96","751,51K","2,30%"
"22/05/2015","23,67","23,57","23,75","23,49","386,19K","0,25%"
"25/05/2015","23,66","23,60","23,73","23,57","106,85K","-0,04%"
"26/05/2015","23,44","23,64","23,73","23,43","336,23K","-0,93%"
"27/05/2015","23,44","23,43","23,59","23,36","460,44K","0,00%"
"28/05/2015","23,36","23,43","23,50","23,29","339,92K","-0,34%"
"29/05/2015","23,00","23,34","23,43","22,98","447,18K","-1,54%"
"01/06/2015","22,71","22,98","23,00","22,71","405,33K","-1,26%"
"02/06/2015","22,43","22,75","22,75","22,27","871,35K","-1,23%"
"03/06/2015","22,84","22,50","22,91","22,43","702,23K","1,83%"
"04/06/2015","22,68","22,80","22,84","22,48","608,12K","-0,70%"
"05/06/2015","22,39","22,62","22,62","22,38","414,22K","-1,28%"
"08/06/2015","22,38","22,40","22,55","22,34","573,12K","-0,04%"
"09/06/2015","22,96","22,36","23,04","22,30","879,04K","2,59%"
"10/06/2015","23,23","22,93","23,29","22,83","590,37K","1,18%"
"11/06/2015","23,05","23,15","23,39","23,02","725,52K","-0,77%"
"12/06/2015","22,52","23,02","23,12","22,43","505,43K","-2,30%"
"15/06/2015","22,25","22,40","22,51","22,23","434,41K","-1,20%"
"16/06/2015","22,39","22,23","22,39","22,02","457,83K","0,63%"
"17/06/2015","22,16","22,38","22,48","22,14","467,22K","-1,03%"
"18/06/2015","22,04","22,10","22,16","21,78","521,49K","-0,54%"
"19/06/2015","21,91","22,08","22,30","21,91","1,12M","-0,59%"
"22/06/2015","22,30","22,23","22,47","22,11","629,67K","1,78%"
"23/06/2015","22,61","22,42","22,70","22,36","591,90K","1,39%"
"24/06/2015","22,73","22,62","22,84","22,55","514,42K","0,53%"
"25/06/2015","22,73","22,55","22,95","22,55","550,24K","0,00%"
"26/06/2015","22,75","22,70","22,98","22,38","643,41K","0,09%"
"29/06/2015","22,36","22,17","22,46","22,05","718,27K","-1,71%"
"30/06/2015","22,16","22,30","22,44","22,15","940,34K","-0,89%"
"01/07/2015","22,45","22,30","22,49","22,09","558,55K","1,31%"
"02/07/2015","22,07","22,53","22,55","22,01","559,85K","-1,69%"
"03/07/2015","21,91","22,09","22,10","21,84","490,18K","-0,72%"
"06/07/2015","21,66","21,60","21,78","21,52","657,35K","-1,14%"
"07/07/2015","21,77","22,07","22,43","21,71","755,91K","0,51%"
"08/07/2015","21,80","21,70","21,84","21,62","646,60K","0,14%"
"09/07/2015","22,14","21,82","22,35","21,82","392,39K","1,56%"
"10/07/2015","22,25","22,40","22,44","22,18","509,33K","0,50%"
"13/07/2015","22,62","22,32","22,64","22,25","608,18K","1,66%"
"14/07/2015","22,86","22,64","22,91","22,52","369,37K","1,06%"
"15/07/2015","23,05","22,86","23,29","22,83","563,11K","0,83%"
"16/07/2015","23,80","23,08","23,84","23,01","585,28K","3,25%"
"17/07/2015","23,98","23,87","24,19","23,85","597,58K","0,76%"
"20/07/2015","23,98","23,92","24,06","23,77","725,67K","0,00%"
"21/07/2015","23,98","23,98","24,32","23,80","566,42K","0,00%"
"22/07/2015","23,82","23,89","23,95","23,61","501,27K","-0,67%"
"23/07/2015","23,61","23,89","23,98","23,31","634,80K","-0,88%"
"24/07/2015","23,63","23,61","24,34","23,58","1,26M","0,08%"
"27/07/2015","22,89","23,62","23,62","22,88","915,36K","-3,13%"
"28/07/2015","22,98","22,89","23,05","22,70","608,58K","0,39%"
"29/07/2015","22,60","23,00","23,00","22,45","978,82K","-1,65%"
"30/07/2015","22,79","22,65","22,84","22,48","704,36K","0,84%"
"31/07/2015","22,71","22,82","22,87","22,41","568,96K","-0,35%"
"03/08/2015","22,72","22,70","22,93","22,57","533,67K","0,04%"
"04/08/2015","22,91","22,75","22,95","22,51","567,18K","0,84%"
"05/08/2015","23,05","22,93","23,08","22,77","447,78K","0,61%"
"06/08/2015","23,03","22,98","23,39","22,97","675,27K","-0,09%"
"07/08/2015","22,44","22,95","23,00","22,40","619,68K","-2,56%"
"10/08/2015","22,50","22,43","22,61","22,32","421,29K","0,27%"
"11/08/2015","21,98","22,50","22,50","21,93","484,96K","-2,31%"
"12/08/2015","21,60","21,82","21,82","21,19","695,11K","-1,73%"
"13/08/2015","21,46","21,79","21,93","21,36","659,25K","-0,65%"
"14/08/2015","21,46","21,52","21,57","21,16","681,83K","0,00%"
"17/08/2015","21,55","21,55","21,73","21,27","646,92K","0,42%"
"18/08/2015","21,59","21,52","21,73","21,52","536,53K","0,19%"
"19/08/2015","20,89","21,54","21,54","20,89","614,37K","-3,24%"
"20/08/2015","20,59","20,89","20,96","20,48","525,93K","-1,44%"
"21/08/2015","19,91","20,45","20,57","19,87","906,63K","-3,30%"
"24/08/2015","19,25","19,55","19,55","18,91","1,85M","-3,31%"
"25/08/2015","19,51","19,06","19,79","18,70","1,74M","1,35%"
"26/08/2015","18,24","19,25","19,25","17,60","3,35M","-6,51%"
"27/08/2015","18,64","18,77","19,05","18,09","1,97M","2,19%"
"28/08/2015","18,78","18,61","18,94","18,52","1,43M","0,75%"
"31/08/2015","18,91","18,40","18,91","18,36","903,04K","0,69%"
"01/09/2015","18,05","18,72","18,75","17,95","1,34M","-4,55%"
"02/09/2015","18,04","18,11","18,31","17,77","1,08M","-0,06%"
"03/09/2015","18,36","18,14","18,51","18,11","845,71K","1,77%"
"04/09/2015","17,30","18,16","18,17","17,16","1,71M","-5,77%"
"07/09/2015","17,18","17,46","17,46","16,97","858,28K","-0,69%"
"08/09/2015","17,57","17,25","17,62","17,11","1,07M","2,27%"
"09/09/2015","17,70","17,86","18,00","17,64","880,49K","0,74%"
"10/09/2015","16,86","17,45","17,50","16,56","1,87M","-4,75%"
"11/09/2015","15,97","16,89","16,97","15,87","1,71M","-5,28%"
"14/09/2015","15,90","16,03","16,12","15,80","1,08M","-0,44%"
"15/09/2015","15,78","15,90","15,95","15,70","1,17M","-0,75%"
"16/09/2015","16,07","16,20","16,43","15,86","1,46M","1,84%"
