"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","18,06","18,34","18,49","17,92","4,00M","-0,61%"
"05/01/2015","17,29","17,95","18,23","17,27","7,27M","-4,26%"
"06/01/2015","17,12","17,36","17,41","17,07","5,73M","-0,98%"
"07/01/2015","16,96","17,24","17,26","16,86","6,71M","-0,93%"
"08/01/2015","17,58","17,20","17,61","17,08","6,42M","3,66%"
"09/01/2015","17,04","17,50","17,59","16,92","7,18M","-3,07%"
"12/01/2015","17,10","17,12","17,37","16,84","5,38M","0,35%"
"13/01/2015","17,43","17,08","17,52","17,01","5,79M","1,93%"
"14/01/2015","16,85","17,16","17,23","16,67","11,22M","-3,33%"
"15/01/2015","17,08","17,01","17,18","16,37","8,99M","1,36%"
"16/01/2015","17,25","16,98","17,29","16,88","6,86M","1,00%"
"19/01/2015","17,43","17,31","17,47","17,17","5,38M","1,04%"
"20/01/2015","17,60","17,44","17,62","17,32","5,40M","0,98%"
"21/01/2015","17,50","17,59","17,60","17,23","9,13M","-0,57%"
"22/01/2015","18,03","17,52","18,08","17,48","12,16M","3,03%"
"23/01/2015","18,24","18,05","18,45","17,85","9,54M","1,16%"
"26/01/2015","18,41","18,18","18,49","18,15","5,58M","0,93%"
"27/01/2015","18,21","18,38","18,45","18,15","6,95M","-1,09%"
"28/01/2015","18,49","18,35","18,61","17,96","7,10M","1,54%"
"29/01/2015","18,70","18,40","18,71","18,38","5,66M","1,14%"
"30/01/2015","18,45","18,78","18,78","18,37","7,45M","-1,34%"
"02/02/2015","18,55","18,44","18,59","18,32","4,64M","0,54%"
"03/02/2015","18,43","18,61","18,75","18,29","9,22M","-0,65%"
"04/02/2015","18,34","18,36","18,45","18,20","5,78M","-0,49%"
"05/02/2015","17,91","18,08","18,15","17,87","8,39M","-2,34%"
"06/02/2015","17,78","17,95","17,97","17,77","4,64M","-0,73%"
"09/02/2015","17,48","17,68","17,72","17,34","6,57M","-1,69%"
"10/02/2015","17,73","17,53","17,76","17,30","4,97M","1,43%"
"11/02/2015","17,56","17,76","17,77","17,47","5,18M","-0,96%"
"12/02/2015","17,58","17,54","17,64","17,31","5,89M","0,11%"
"13/02/2015","17,51","17,66","17,70","17,50","6,89M","-0,40%"
"16/02/2015","17,40","17,50","17,50","17,34","3,65M","-0,63%"
"17/02/2015","17,53","17,31","17,55","17,09","4,52M","0,75%"
"18/02/2015","17,47","17,68","17,75","17,36","4,97M","-0,34%"
"19/02/2015","17,47","17,34","17,49","17,24","5,66M","0,00%"
"20/02/2015","17,39","17,45","17,52","17,25","6,62M","-0,46%"
"23/02/2015","17,59","17,58","17,63","17,39","5,17M","1,15%"
"24/02/2015","18,00","17,65","18,10","17,42","8,12M","2,33%"
"25/02/2015","18,04","18,01","18,20","17,94","5,58M","0,22%"
"26/02/2015","18,22","18,25","18,46","18,13","6,43M","1,00%"
"27/02/2015","18,59","18,20","18,59","18,10","8,21M","2,03%"
"02/03/2015","18,18","18,52","18,58","18,12","6,28M","-2,21%"
"03/03/2015","17,76","18,23","18,26","17,73","6,89M","-2,31%"
"04/03/2015","17,77","17,88","17,92","17,58","6,24M","0,06%"
"05/03/2015","17,86","17,82","17,92","17,65","5,55M","0,51%"
"06/03/2015","17,67","17,90","17,92","17,64","6,02M","-1,06%"
"09/03/2015","17,58","17,60","17,63","17,47","6,03M","-0,51%"
"10/03/2015","17,25","17,63","17,72","17,21","6,47M","-1,88%"
"11/03/2015","17,34","17,25","17,38","17,25","6,98M","0,52%"
"12/03/2015","17,05","17,32","17,54","17,03","8,35M","-1,67%"
"13/03/2015","17,05","17,10","17,11","16,97","6,38M","0,00%"
"16/03/2015","17,29","17,14","17,36","17,08","6,83M","1,41%"
"17/03/2015","17,48","17,36","17,62","17,30","9,44M","1,10%"
"18/03/2015","17,63","17,40","17,72","17,34","9,12M","0,86%"
"19/03/2015","17,61","17,65","17,69","17,45","6,32M","-0,11%"
"20/03/2015","17,77","17,67","17,84","17,57","10,74M","0,91%"
"23/03/2015","17,67","17,70","17,72","17,57","5,07M","-0,56%"
"24/03/2015","17,74","17,62","17,82","17,58","5,11M","0,40%"
"25/03/2015","17,65","17,74","17,80","17,62","5,01M","-0,51%"
"26/03/2015","17,44","17,58","17,69","17,30","6,41M","-1,19%"
"27/03/2015","17,56","17,50","17,58","17,36","3,74M","0,69%"
"30/03/2015","17,50","17,58","17,68","17,44","5,76M","-0,34%"
"31/03/2015","17,21","17,44","17,62","17,21","6,83M","-1,66%"
"01/04/2015","17,34","17,16","17,58","17,14","6,22M","0,76%"
"02/04/2015","17,31","17,42","17,43","17,28","3,87M","-0,17%"
"07/04/2015","18,15","17,49","18,30","17,43","9,96M","4,85%"
"08/04/2015","18,00","18,18","18,45","17,97","6,40M","-0,83%"
"09/04/2015","18,03","18,02","18,07","17,87","4,54M","0,17%"
"10/04/2015","18,02","18,10","18,10","17,86","5,28M","-0,06%"
"13/04/2015","18,00","18,07","18,12","17,89","4,52M","-0,11%"
"14/04/2015","17,91","18,00","18,08","17,76","6,11M","-0,50%"
"15/04/2015","18,11","17,88","18,22","17,86","5,55M","1,12%"
"16/04/2015","18,21","18,16","18,31","18,01","4,74M","0,55%"
"17/04/2015","18,07","18,25","18,33","17,89","7,18M","-0,77%"
"20/04/2015","18,13","18,09","18,21","17,98","3,84M","0,33%"
"21/04/2015","18,05","18,25","18,33","18,00","3,69M","-0,44%"
"22/04/2015","17,86","18,05","18,14","17,74","4,07M","-1,05%"
"23/04/2015","17,70","17,82","17,86","17,51","5,54M","-0,90%"
"24/04/2015","18,04","17,72","18,06","17,70","5,55M","1,92%"
"27/04/2015","18,25","17,99","18,41","17,90","7,83M","1,16%"
"28/04/2015","18,07","18,16","18,27","17,94","5,74M","-0,99%"
"29/04/2015","17,52","18,08","18,19","17,50","7,22M","-3,04%"
"30/04/2015","17,03","17,16","17,18","16,93","8,92M","-2,80%"
"04/05/2015","16,87","17,03","17,07","16,87","6,40M","-0,94%"
"05/05/2015","16,63","16,92","17,13","16,58","10,68M","-1,42%"
"06/05/2015","16,82","16,61","16,93","16,56","9,75M","1,14%"
"07/05/2015","16,78","16,80","16,91","16,60","8,23M","-0,24%"
"08/05/2015","17,33","16,87","17,33","16,82","6,86M","3,28%"
"11/05/2015","17,21","17,36","17,38","17,07","4,45M","-0,69%"
"12/05/2015","17,07","17,02","17,13","16,83","6,88M","-0,81%"
"13/05/2015","16,64","17,19","17,20","16,57","13,10M","-2,52%"
"14/05/2015","16,72","16,56","16,81","16,36","5,92M","0,48%"
"15/05/2015","16,67","16,81","16,85","16,58","6,02M","-0,30%"
"18/05/2015","16,65","16,71","16,84","16,43","4,51M","-0,12%"
