"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","215,55","213,00","218,00","212,00","7,47K","1,65%"
"05/01/2015","212,30","216,15","220,60","211,85","24,46K","-1,51%"
"06/01/2015","207,85","212,55","214,35","207,60","15,02K","-2,10%"
"07/01/2015","211,20","208,50","214,25","206,25","16,41K","1,61%"
"08/01/2015","213,40","212,95","215,10","207,05","23,86K","1,04%"
"09/01/2015","213,95","212,90","216,35","212,05","12,18K","0,26%"
"12/01/2015","219,55","213,50","219,70","213,45","19,54K","2,62%"
"13/01/2015","225,85","219,40","225,90","219,00","26,48K","2,87%"
"14/01/2015","219,95","223,75","227,00","218,35","19,57K","-2,61%"
"15/01/2015","221,00","221,40","223,85","215,75","13,21K","0,48%"
"16/01/2015","225,95","220,50","226,50","218,10","14,59K","2,24%"
"19/01/2015","229,05","227,00","229,90","224,10","13,40K","1,37%"
"20/01/2015","227,35","229,10","230,90","226,80","12,06K","-0,74%"
"21/01/2015","226,55","228,00","229,00","222,65","12,03K","-0,35%"
"22/01/2015","226,95","226,10","228,40","223,10","77,27K","0,18%"
"23/01/2015","231,10","226,90","231,40","226,55","19,47K","1,83%"
"26/01/2015","233,25","230,00","233,95","229,90","9,12K","0,93%"
"27/01/2015","226,25","232,90","234,25","225,10","16,81K","-3,00%"
"28/01/2015","232,60","225,85","232,60","225,85","16,17K","2,81%"
"29/01/2015","229,55","232,45","232,95","228,30","22,35K","-1,31%"
"30/01/2015","228,50","230,00","230,70","226,70","17,49K","-0,46%"
"02/02/2015","229,00","228,80","231,20","226,85","42,01K","0,22%"
"03/02/2015","232,35","230,00","234,35","230,00","18,49K","1,46%"
"04/02/2015","233,00","232,05","233,90","231,20","9,01K","0,28%"
"05/02/2015","237,05","231,20","237,65","231,20","11,91K","1,74%"
"06/02/2015","235,70","236,50","237,95","235,00","14,35K","-0,57%"
"09/02/2015","232,30","236,50","236,50","228,85","15,32K","-1,44%"
"10/02/2015","231,75","230,80","233,20","229,00","9,04K","-0,24%"
"11/02/2015","229,55","233,45","233,45","228,10","10,71K","-0,95%"
"12/02/2015","233,05","228,70","233,80","228,70","10,21K","1,52%"
"13/02/2015","229,00","233,80","234,00","229,00","12,02K","-1,74%"
"16/02/2015","230,90","232,45","232,45","229,75","13,88K","0,83%"
"17/02/2015","230,00","231,00","231,00","229,25","9,42K","-0,39%"
"18/02/2015","230,55","230,95","230,95","229,50","11,97K","0,24%"
"19/02/2015","230,75","230,50","231,50","227,75","13,91K","0,09%"
"20/02/2015","232,15","231,25","232,55","230,00","8,73K","0,61%"
"23/02/2015","233,15","233,05","233,70","230,80","13,33K","0,43%"
"24/02/2015","234,70","233,50","235,00","230,15","10,45K","0,66%"
"25/02/2015","234,45","233,65","235,00","233,40","22,95K","-0,11%"
"26/02/2015","239,40","233,70","239,80","233,00","17,58K","2,11%"
"27/02/2015","242,45","239,40","244,55","239,10","28,41K","1,27%"
"02/03/2015","235,25","245,00","247,75","232,00","33,10K","-2,97%"
"03/03/2015","242,95","237,50","247,50","236,85","33,77K","3,27%"
"04/03/2015","239,15","242,95","244,20","237,55","22,11K","-1,56%"
"05/03/2015","250,00","238,50","252,60","238,50","29,55K","4,54%"
"06/03/2015","249,30","248,60","251,60","246,85","23,38K","-0,28%"
"09/03/2015","249,55","250,40","250,80","245,05","12,75K","0,10%"
"10/03/2015","251,50","250,95","252,50","250,05","15,77K","0,78%"
"11/03/2015","256,80","252,30","257,10","251,80","23,13K","2,11%"
"12/03/2015","255,50","257,80","257,80","253,85","11,10K","-0,51%"
"13/03/2015","257,40","257,80","259,65","253,90","14,22K","0,74%"
"16/03/2015","256,75","257,05","258,60","255,05","17,59K","-0,25%"
"17/03/2015","253,05","256,75","258,55","245,90","17,40K","-1,44%"
"18/03/2015","252,30","253,00","255,50","250,45","11,47K","-0,30%"
"19/03/2015","257,15","252,30","257,20","251,60","13,68K","1,92%"
"20/03/2015","250,70","256,95","261,15","250,70","25,07K","-2,51%"
"23/03/2015","252,15","250,60","252,95","248,60","11,16K","0,58%"
"24/03/2015","250,50","251,20","251,95","247,50","11,87K","-0,65%"
"25/03/2015","248,15","250,20","251,25","247,25","7,61K","-0,94%"
"26/03/2015","244,25","247,00","247,25","235,10","14,34K","-1,57%"
"27/03/2015","245,00","242,90","246,95","242,10","10,07K","0,31%"
"30/03/2015","250,25","245,00","251,05","244,50","14,80K","2,14%"
"31/03/2015","250,75","253,05","254,85","249,40","16,71K","0,20%"
"01/04/2015","250,65","248,50","252,90","247,50","11,14K","-0,04%"
"02/04/2015","255,85","251,50","256,60","251,30","13,10K","2,07%"
"07/04/2015","256,60","255,85","256,90","251,25","16,40K","0,29%"
"08/04/2015","257,05","256,90","257,55","252,95","16,61K","0,18%"
"09/04/2015","261,25","257,95","266,20","257,30","21,03K","1,63%"
"10/04/2015","267,55","264,05","267,55","262,40","11,42K","2,41%"
"13/04/2015","265,00","265,90","267,00","261,95","14,21K","-0,95%"
"14/04/2015","262,95","263,15","264,75","261,40","10,51K","-0,77%"
"15/04/2015","263,30","266,70","272,65","261,75","14,29K","0,13%"
"16/04/2015","265,60","266,80","266,80","260,10","12,14K","0,87%"
"17/04/2015","259,00","261,70","265,50","258,70","16,27K","-2,48%"
"20/04/2015","261,70","257,65","264,20","257,65","7,97K","1,04%"
"21/04/2015","263,80","262,50","266,90","262,50","12,50K","0,80%"
"22/04/2015","262,75","263,40","266,70","261,15","7,70K","-0,40%"
"23/04/2015","262,20","262,80","263,80","261,05","9,86K","-0,21%"
"24/04/2015","265,75","262,05","268,65","261,10","10,65K","1,35%"
"27/04/2015","264,55","265,75","267,00","261,00","12,52K","-0,45%"
"28/04/2015","256,85","264,50","264,50","255,25","10,52K","-2,91%"
"29/04/2015","248,90","257,20","260,90","248,55","10,69K","-3,10%"
"30/04/2015","251,70","250,40","252,95","245,55","14,71K","1,12%"
"04/05/2015","253,70","256,55","256,55","252,00","11,46K","0,79%"
"05/05/2015","253,60","254,00","256,20","252,40","14,72K","-0,04%"
"06/05/2015","251,40","252,40","253,35","249,05","16,63K","-0,87%"
"07/05/2015","250,30","248,70","258,00","246,65","21,85K","-0,44%"
"08/05/2015","260,10","255,70","261,50","252,55","13,24K","3,92%"
