"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","43,46","43,54","43,94","43,13","318,18K","-0,21%"
"05/01/2015","42,06","43,13","44,05","41,99","587,91K","-3,22%"
"06/01/2015","41,28","42,16","42,17","41,19","685,79K","-1,85%"
"07/01/2015","40,98","41,52","41,52","40,87","588,86K","-0,73%"
"08/01/2015","41,91","41,48","42,09","41,23","574,64K","2,27%"
"09/01/2015","41,71","41,71","42,30","41,42","491,02K","-0,48%"
"12/01/2015","41,68","41,90","42,50","41,63","495,36K","-0,07%"
"13/01/2015","41,48","41,53","41,66","40,97","793,93K","-0,48%"
"14/01/2015","41,04","40,95","41,41","40,77","733,52K","-1,06%"
"15/01/2015","42,45","41,35","42,54","40,91","1,18M","3,44%"
"16/01/2015","42,31","42,19","42,48","42,10","755,43K","-0,33%"
"19/01/2015","42,83","42,31","42,98","42,11","437,61K","1,23%"
"20/01/2015","43,67","43,00","43,89","42,93","538,12K","1,96%"
"21/01/2015","44,10","43,72","44,10","43,34","778,92K","0,98%"
"22/01/2015","45,25","44,15","45,43","44,04","865,54K","2,61%"
"23/01/2015","46,44","45,48","46,53","45,37","1,09M","2,63%"
"26/01/2015","46,90","46,23","46,92","46,23","424,15K","0,99%"
"27/01/2015","45,67","46,83","46,91","45,55","749,25K","-2,62%"
"28/01/2015","45,97","46,03","46,27","45,63","477,62K","0,66%"
"29/01/2015","46,95","45,73","47,15","45,59","982,94K","2,13%"
"30/01/2015","47,70","48,01","48,47","47,65","1,25M","1,60%"
"02/02/2015","47,53","47,90","48,31","47,12","557,30K","-0,36%"
"03/02/2015","48,69","47,77","49,02","47,61","926,41K","2,44%"
"04/02/2015","48,77","48,61","48,91","48,34","569,65K","0,16%"
"05/02/2015","48,27","47,55","48,37","47,29","660,84K","-1,03%"
"06/02/2015","46,94","47,62","47,72","46,86","817,99K","-2,76%"
"09/02/2015","46,84","46,70","47,26","46,23","609,75K","-0,21%"
"10/02/2015","47,38","47,09","47,50","46,58","456,82K","1,15%"
"11/02/2015","47,05","47,40","47,52","46,82","552,24K","-0,70%"
"12/02/2015","46,65","46,25","47,27","45,65","1,26M","-0,85%"
"13/02/2015","47,01","46,25","47,06","45,86","1,11M","0,77%"
"16/02/2015","46,34","46,60","46,88","46,18","641,84K","-1,43%"
"17/02/2015","46,95","46,10","47,32","46,03","713,29K","1,32%"
"18/02/2015","47,88","47,06","47,88","46,51","901,74K","1,98%"
"19/02/2015","48,16","47,73","48,42","47,61","820,60K","0,58%"
"20/02/2015","48,40","48,00","48,40","47,48","732,05K","0,50%"
"23/02/2015","49,07","48,62","49,19","48,41","730,33K","1,38%"
"24/02/2015","48,91","49,03","49,15","48,35","549,56K","-0,33%"
"25/02/2015","48,90","48,94","49,03","48,59","601,28K","-0,02%"
"26/02/2015","49,27","48,88","49,34","48,61","374,16K","0,76%"
"27/02/2015","49,40","49,03","49,44","48,91","607,74K","0,26%"
"02/03/2015","48,28","49,45","49,61","48,09","893,81K","-2,27%"
"03/03/2015","48,94","48,85","49,48","48,46","879,46K","1,37%"
"04/03/2015","49,20","48,60","49,20","48,55","691,02K","0,53%"
"05/03/2015","49,57","49,20","49,84","49,03","544,08K","0,75%"
"06/03/2015","49,29","49,42","49,94","49,29","722,73K","-0,56%"
"09/03/2015","48,93","48,95","49,23","48,76","533,48K","-0,73%"
"10/03/2015","48,73","48,75","49,23","48,16","638,29K","-0,41%"
"11/03/2015","50,07","48,79","50,20","48,79","628,87K","2,75%"
"12/03/2015","49,56","50,00","50,38","49,45","580,80K","-1,02%"
"13/03/2015","50,06","49,62","50,33","49,38","578,35K","1,01%"
"16/03/2015","50,54","49,85","50,75","49,84","448,05K","0,96%"
"17/03/2015","50,29","50,50","50,74","50,01","441,03K","-0,49%"
"18/03/2015","49,29","49,71","49,84","48,75","1,10M","-1,99%"
"19/03/2015","49,69","49,51","50,20","49,33","778,35K","0,81%"
"20/03/2015","50,45","49,66","50,64","49,65","806,91K","1,53%"
"23/03/2015","49,71","50,43","50,50","49,62","582,91K","-1,47%"
"24/03/2015","50,36","49,80","50,70","49,54","631,47K","1,31%"
"25/03/2015","49,26","50,28","50,36","49,24","595,05K","-2,18%"
"26/03/2015","49,44","49,05","49,50","48,35","672,69K","0,37%"
"27/03/2015","49,99","49,52","50,17","49,28","792,76K","1,11%"
"30/03/2015","50,70","50,04","50,83","50,00","570,35K","1,42%"
"31/03/2015","50,34","50,47","51,39","50,07","866,74K","-0,71%"
"01/04/2015","51,34","50,16","51,72","50,06","842,84K","1,99%"
"02/04/2015","51,54","51,16","51,64","51,08","419,44K","0,39%"
"07/04/2015","52,31","51,64","52,62","51,55","641,37K","1,49%"
"08/04/2015","52,25","52,33","52,72","52,20","454,15K","-0,11%"
"09/04/2015","52,72","52,59","52,98","52,43","500,63K","0,90%"
"10/04/2015","52,67","52,92","52,95","52,57","616,60K","-0,09%"
"13/04/2015","52,88","52,80","53,08","52,45","557,58K","0,40%"
"14/04/2015","52,48","52,77","53,03","52,23","695,00K","-0,76%"
"15/04/2015","52,77","52,71","53,18","52,56","595,43K","0,55%"
"16/04/2015","51,91","52,68","52,79","51,88","564,18K","-1,63%"
"17/04/2015","50,88","51,87","52,48","50,81","930,35K","-1,98%"
"20/04/2015","51,49","51,13","51,65","51,05","507,62K","1,20%"
"21/04/2015","52,70","51,75","52,79","51,75","731,47K","2,35%"
