"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","130,85","132,50","133,70","129,90","614,38K","-1,06%"
"05/01/2015","127,05","130,05","131,85","126,75","1,05M","-2,90%"
"06/01/2015","125,60","127,10","127,55","125,50","896,49K","-1,14%"
"07/01/2015","125,70","125,80","126,15","123,50","1,35M","0,08%"
"08/01/2015","129,65","127,50","130,05","126,35","1,16M","3,14%"
"09/01/2015","127,70","129,35","130,60","127,10","976,81K","-1,50%"
"12/01/2015","131,95","128,50","132,40","128,25","1,37M","3,33%"
"13/01/2015","132,95","130,90","133,50","130,55","1,02M","0,76%"
"14/01/2015","132,70","131,50","134,15","130,90","1,46M","-0,19%"
"15/01/2015","135,05","133,80","135,40","129,30","2,27M","1,77%"
"16/01/2015","134,20","134,20","135,05","132,75","1,36M","-0,63%"
"19/01/2015","134,20","134,55","135,10","132,95","911,82K","0,00%"
"20/01/2015","136,50","134,20","136,50","133,45","1,08M","1,71%"
"21/01/2015","137,40","137,00","137,85","135,95","1,39M","0,66%"
"22/01/2015","137,85","137,05","138,70","136,05","1,35M","0,33%"
"23/01/2015","141,85","139,00","143,30","138,15","1,74M","2,90%"
"26/01/2015","144,65","141,40","144,75","141,10","1,14M","1,97%"
"27/01/2015","145,10","144,80","145,70","143,25","1,24M","0,31%"
"28/01/2015","145,20","145,95","146,00","144,10","1,15M","0,07%"
"29/01/2015","144,70","144,25","145,25","142,75","1,41M","-0,34%"
"30/01/2015","143,50","145,25","146,00","142,70","1,18M","-0,83%"
"02/02/2015","143,30","144,45","146,00","142,60","1,15M","-0,14%"
"03/02/2015","144,50","143,30","145,00","141,80","1,19M","0,84%"
"04/02/2015","156,25","151,70","156,45","151,50","3,13M","8,13%"
"05/02/2015","153,50","154,70","155,45","152,75","1,81M","-1,76%"
"06/02/2015","152,80","152,95","154,00","152,50","1,02M","-0,46%"
"09/02/2015","150,60","151,50","152,30","149,80","1,20M","-1,44%"
"10/02/2015","156,15","151,65","156,15","151,40","1,44M","3,69%"
"11/02/2015","156,55","155,50","157,60","155,00","906,62K","0,26%"
"12/02/2015","159,15","157,00","159,95","156,70","1,47M","1,66%"
"13/02/2015","158,50","159,35","160,00","158,05","862,61K","-0,41%"
"16/02/2015","156,95","157,95","158,15","156,30","702,17K","-0,98%"
"17/02/2015","157,60","156,90","157,75","154,80","676,92K","0,41%"
"18/02/2015","158,75","158,10","158,85","157,30","576,21K","0,73%"
"19/02/2015","160,80","158,15","160,85","157,45","687,56K","1,29%"
"20/02/2015","161,00","160,45","161,00","158,80","1,01M","0,12%"
"23/02/2015","161,25","162,10","162,45","160,30","654,55K","0,16%"
"24/02/2015","161,20","161,85","161,90","159,85","612,92K","-0,03%"
"25/02/2015","161,60","160,60","161,75","160,35","575,70K","0,25%"
"26/02/2015","161,95","161,90","162,30","160,95","748,53K","0,22%"
"27/02/2015","163,90","161,40","163,90","161,25","855,08K","1,20%"
"02/03/2015","164,75","163,90","164,85","163,20","845,87K","0,52%"
"03/03/2015","162,40","165,00","166,30","162,15","760,75K","-1,43%"
"04/03/2015","165,10","163,30","165,10","162,50","903,31K","1,66%"
"05/03/2015","167,70","165,40","168,00","165,15","795,14K","1,57%"
"06/03/2015","168,90","167,35","169,10","167,30","800,23K","0,72%"
"09/03/2015","167,80","168,05","168,55","166,70","837,92K","-0,65%"
"10/03/2015","166,25","167,10","168,45","166,00","803,53K","-0,92%"
"11/03/2015","171,50","166,30","171,65","165,60","1,05M","3,16%"
"12/03/2015","170,60","170,80","171,25","169,75","595,84K","-0,52%"
"13/03/2015","171,25","170,80","171,30","169,65","529,31K","0,38%"
"16/03/2015","174,70","172,25","175,40","171,55","895,03K","2,01%"
"17/03/2015","172,70","174,50","174,70","171,45","849,36K","-1,14%"
"18/03/2015","170,75","172,20","172,20","169,10","958,05K","-1,13%"
"19/03/2015","168,30","170,00","170,95","168,30","1,05M","-1,43%"
"20/03/2015","169,25","168,30","169,90","166,40","1,54M","0,56%"
"23/03/2015","164,50","165,00","165,65","160,15","1,14M","-2,81%"
"24/03/2015","166,45","165,10","167,30","164,55","924,88K","1,19%"
"25/03/2015","163,60","166,35","166,95","162,95","921,62K","-1,71%"
"26/03/2015","162,35","163,00","163,15","159,45","1,47M","-0,76%"
"27/03/2015","162,25","163,00","163,80","161,30","1,02M","-0,06%"
"30/03/2015","164,50","163,75","166,30","162,85","846,37K","1,39%"
"31/03/2015","164,15","164,80","165,25","162,75","931,12K","-0,21%"
"01/04/2015","163,30","162,85","165,20","161,40","1,08M","-0,52%"
"02/04/2015","163,55","162,75","164,65","162,45","635,97K","0,15%"
"07/04/2015","165,55","165,30","165,90","163,80","802,00K","1,22%"
"08/04/2015","167,50","165,65","167,50","164,75","1,21M","1,18%"
"09/04/2015","170,80","168,50","170,80","168,00","915,54K","1,97%"
"10/04/2015","172,40","171,40","172,75","170,60","884,64K","0,94%"
"13/04/2015","172,55","171,45","172,95","170,15","994,19K","0,09%"
"14/04/2015","168,25","172,75","173,10","167,05","1,41M","-2,49%"
"15/04/2015","171,20","169,85","171,85","169,55","930,44K","1,75%"
"16/04/2015","169,05","169,80","171,45","168,35","918,18K","-1,26%"
"17/04/2015","165,45","169,00","169,80","164,85","1,40M","-2,13%"
"20/04/2015","165,00","165,55","166,85","164,40","963,46K","-0,27%"
"21/04/2015","164,10","164,45","166,35","163,80","808,55K","-0,55%"
"22/04/2015","160,85","163,35","164,10","160,35","1,16M","-1,98%"
"23/04/2015","159,30","161,40","162,20","158,40","1,20M","-0,96%"
"24/04/2015","161,05","160,65","161,40","159,25","1,11M","1,10%"
"27/04/2015","162,65","161,05","162,65","159,05","858,19K","0,99%"
"28/04/2015","158,85","162,50","162,50","157,00","841,90K","-2,34%"
"29/04/2015","155,75","159,40","161,00","155,70","1,04M","-1,95%"
"30/04/2015","156,60","156,85","157,90","154,10","1,33M","0,55%"
"04/05/2015","159,50","158,50","159,95","156,30","806,62K","1,85%"
"05/05/2015","154,65","159,55","161,95","154,50","1,23M","-3,04%"
"06/05/2015","154,25","154,75","156,60","152,40","1,12M","-0,26%"
"07/05/2015","155,90","153,15","156,45","150,60","1,41M","1,07%"
"08/05/2015","160,80","157,25","160,80","155,45","1,03M","3,14%"
"11/05/2015","158,35","161,00","161,00","157,75","720,03K","-1,52%"
"12/05/2015","155,90","157,35","157,35","155,10","890,60K","-1,55%"
"13/05/2015","154,40","156,00","157,80","154,05","741,00K","-0,96%"
"14/05/2015","158,85","154,10","159,20","152,55","729,65K","2,88%"
