"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","18,59","18,84","18,96","18,48","1,16M","-1,22%"
"05/01/2015","18,16","18,54","18,80","18,08","2,25M","-2,31%"
"06/01/2015","17,96","18,19","18,23","17,90","2,65M","-1,10%"
"07/01/2015","18,04","18,05","18,34","17,98","2,13M","0,45%"
"08/01/2015","18,76","18,28","18,84","18,21","2,77M","3,99%"
"09/01/2015","18,57","18,73","18,93","18,43","2,41M","-1,01%"
"12/01/2015","18,94","18,59","19,02","18,51","2,94M","1,99%"
"13/01/2015","19,31","18,93","19,48","18,92","3,39M","1,95%"
"14/01/2015","18,86","19,11","19,12","18,75","3,04M","-2,33%"
"15/01/2015","19,21","19,00","19,33","18,45","3,16M","1,86%"
"16/01/2015","19,50","19,11","19,50","19,08","3,31M","1,51%"
"19/01/2015","19,78","19,54","19,95","19,53","3,45M","1,44%"
"20/01/2015","19,93","19,82","20,00","19,81","2,96M","0,76%"
"21/01/2015","20,19","19,95","20,21","19,80","3,44M","1,30%"
"22/01/2015","20,84","20,25","20,93","20,08","5,77M","3,22%"
"23/01/2015","21,18","20,98","21,32","20,92","6,58M","1,63%"
"26/01/2015","21,34","21,01","21,36","21,00","3,59M","0,76%"
"27/01/2015","20,88","21,26","21,40","20,73","4,32M","-2,16%"
"28/01/2015","21,10","21,11","21,16","20,74","3,59M","1,05%"
"29/01/2015","21,54","21,02","21,54","20,98","3,97M","2,09%"
"30/01/2015","21,68","21,77","21,94","21,55","5,74M","0,65%"
"02/02/2015","22,06","21,88","22,06","21,65","4,26M","1,75%"
"03/02/2015","22,05","21,88","22,25","21,85","4,91M","-0,05%"
"04/02/2015","22,06","22,04","22,10","21,88","4,12M","0,05%"
"05/02/2015","22,27","21,90","22,34","21,84","4,44M","0,95%"
"06/02/2015","22,05","22,25","22,32","21,98","2,84M","-0,99%"
"09/02/2015","21,59","21,98","22,06","21,45","4,12M","-2,09%"
"10/02/2015","21,03","20,82","21,06","20,38","11,09M","-2,59%"
"11/02/2015","21,00","21,02","21,05","20,59","4,24M","-0,14%"
"12/02/2015","21,07","21,12","21,35","21,02","4,71M","0,33%"
"13/02/2015","21,04","21,00","21,31","20,90","3,04M","-0,14%"
"16/02/2015","20,97","21,01","21,07","20,84","2,43M","-0,33%"
"17/02/2015","20,88","20,78","20,88","20,61","3,40M","-0,43%"
"18/02/2015","21,24","21,00","21,34","20,95","2,91M","1,72%"
"19/02/2015","21,29","21,20","21,35","21,01","3,14M","0,24%"
"20/02/2015","21,39","21,23","21,40","21,14","3,03M","0,47%"
"23/02/2015","21,50","21,50","21,61","21,45","2,87M","0,51%"
"24/02/2015","21,57","21,61","21,62","21,30","2,64M","0,33%"
