"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","20,98","21,31","21,59","20,92","3,80M","-0,75%"
"05/01/2015","20,18","20,92","21,10","20,13","5,13M","-3,84%"
"06/01/2015","20,17","20,24","20,63","20,08","4,18M","0,00%"
"07/01/2015","20,14","20,31","20,61","20,05","3,39M","-0,16%"
"08/01/2015","20,88","20,32","20,95","20,24","5,22M","3,66%"
"09/01/2015","20,35","20,77","20,82","20,15","4,92M","-2,55%"
"12/01/2015","19,84","20,35","20,40","19,60","4,51M","-2,50%"
"13/01/2015","19,77","19,73","19,91","19,52","4,66M","-0,32%"
"14/01/2015","18,61","19,38","19,38","18,45","10,45M","-5,88%"
"15/01/2015","18,90","18,85","19,12","18,03","6,42M","1,54%"
"16/01/2015","19,50","18,87","19,55","18,80","5,95M","3,19%"
"19/01/2015","19,34","19,53","19,55","19,01","3,20M","-0,84%"
"20/01/2015","19,97","19,49","20,01","19,32","5,66M","3,30%"
"21/01/2015","20,23","20,15","20,25","19,68","5,74M","1,30%"
"22/01/2015","20,35","20,26","20,84","20,18","6,16M","0,60%"
"23/01/2015","19,32","20,57","20,57","19,19","8,04M","-5,09%"
"26/01/2015","19,72","19,19","19,73","18,88","4,91M","2,08%"
"27/01/2015","19,54","19,87","19,95","19,19","4,30M","-0,91%"
"28/01/2015","19,68","19,84","20,00","19,47","4,51M","0,72%"
"29/01/2015","19,38","19,52","19,68","19,27","3,25M","-1,54%"
"30/01/2015","19,69","19,38","19,77","19,24","4,35M","1,60%"
"02/02/2015","19,87","19,76","20,00","19,52","4,46M","0,91%"
"03/02/2015","20,70","19,89","20,74","19,89","6,51M","4,21%"
"04/02/2015","20,25","20,80","20,94","20,00","5,68M","-2,19%"
"05/02/2015","20,60","20,07","20,60","19,83","3,93M","1,71%"
"06/02/2015","20,33","20,56","20,81","20,33","3,97M","-1,29%"
"09/02/2015","20,99","20,26","21,06","20,18","5,32M","3,24%"
"10/02/2015","20,67","20,98","21,10","20,50","4,79M","-1,53%"
"11/02/2015","20,32","20,66","20,82","20,23","5,47M","-1,67%"
"12/02/2015","21,21","20,40","21,40","20,32","7,25M","4,35%"
"13/02/2015","22,27","20,32","22,33","20,18","11,09M","5,01%"
"16/02/2015","22,90","22,76","22,96","22,37","7,25M","2,82%"
"17/02/2015","22,54","22,66","23,05","22,19","5,90M","-1,55%"
"18/02/2015","22,98","22,58","23,15","22,57","4,90M","1,91%"
"19/02/2015","22,51","22,91","22,94","22,06","5,77M","-2,02%"
"20/02/2015","22,42","22,57","22,76","22,38","5,26M","-0,43%"
"23/02/2015","22,24","22,68","22,75","22,10","4,30M","-0,80%"
"24/02/2015","22,55","22,32","22,62","22,12","4,48M","1,39%"
"25/02/2015","22,38","22,61","22,70","22,26","3,54M","-0,76%"
"26/02/2015","22,74","22,41","22,91","22,41","3,52M","1,61%"
"27/02/2015","22,73","22,65","22,86","22,54","3,24M","-0,03%"
"02/03/2015","22,38","22,84","22,96","22,13","3,99M","-1,54%"
"03/03/2015","22,39","22,50","22,76","22,34","3,93M","0,06%"
"04/03/2015","22,20","22,41","22,51","22,03","4,65M","-0,84%"
"05/03/2015","22,54","22,24","22,59","21,52","4,70M","1,53%"
"06/03/2015","22,93","22,57","23,32","22,45","7,45M","1,73%"
"09/03/2015","23,33","22,87","23,34","22,80","4,64M","1,74%"
"10/03/2015","22,72","23,26","23,31","22,57","5,36M","-2,63%"
"11/03/2015","22,85","22,72","22,95","22,55","4,61M","0,59%"
"12/03/2015","22,72","22,97","23,03","22,68","4,42M","-0,60%"
"13/03/2015","22,24","22,76","22,79","22,16","4,09M","-2,09%"
"16/03/2015","22,35","22,47","22,72","22,33","3,98M","0,50%"
"17/03/2015","22,11","22,38","22,56","21,99","5,01M","-1,10%"
"18/03/2015","21,89","22,10","22,14","21,57","5,92M","-0,98%"
"19/03/2015","21,59","22,38","22,42","21,53","5,31M","-1,40%"
"20/03/2015","21,76","21,52","21,92","21,19","7,23M","0,80%"
"23/03/2015","21,56","21,67","21,73","21,23","5,45M","-0,91%"
