"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","91,09","90,80","92,02","90,57","334,66K","-1,27%"
"05/01/2015","89,11","90,55","91,47","89,05","509,71K","-2,17%"
"06/01/2015","88,52","89,25","89,35","87,95","546,66K","-0,66%"
"07/01/2015","90,32","89,23","91,09","88,64","681,51K","2,03%"
"08/01/2015","95,07","93,06","95,20","91,92","1,11M","5,26%"
"09/01/2015","94,16","95,72","96,23","93,69","864,99K","-0,96%"
"12/01/2015","96,75","94,56","97,09","94,55","649,64K","2,75%"
"13/01/2015","98,03","96,52","98,30","96,31","783,10K","1,32%"
"14/01/2015","97,28","97,10","98,70","96,74","733,09K","-0,77%"
"15/01/2015","99,80","98,00","99,93","95,48","1,05M","2,59%"
"16/01/2015","102,05","99,40","102,35","99,40","1,08M","2,25%"
"19/01/2015","102,75","101,95","102,95","101,75","636,58K","0,69%"
"20/01/2015","103,40","102,85","104,05","102,70","645,12K","0,63%"
"21/01/2015","103,10","103,10","103,40","101,70","667,42K","-0,29%"
"22/01/2015","102,25","103,20","103,55","101,00","1,05M","-0,82%"
"23/01/2015","106,70","102,25","107,40","102,00","1,10M","4,35%"
"26/01/2015","107,65","106,70","108,75","106,40","638,69K","0,89%"
"27/01/2015","105,90","107,75","108,60","105,65","628,56K","-1,63%"
"28/01/2015","106,95","106,80","107,30","106,05","518,14K","0,99%"
"29/01/2015","108,15","106,00","108,40","105,85","579,75K","1,12%"
"30/01/2015","106,60","108,65","108,65","106,00","780,86K","-1,43%"
"02/02/2015","107,70","107,35","108,05","105,90","624,73K","1,03%"
"03/02/2015","105,55","107,65","108,10","105,15","703,71K","-2,00%"
"04/02/2015","108,05","105,85","108,20","105,35","642,35K","2,37%"
"05/02/2015","107,80","107,35","108,35","107,20","383,42K","-0,23%"
"06/02/2015","105,75","106,90","107,45","105,45","646,12K","-1,90%"
"09/02/2015","105,80","105,10","105,95","104,40","455,17K","0,05%"
"10/02/2015","107,15","105,90","107,95","105,75","514,53K","1,28%"
"11/02/2015","107,60","106,65","107,90","106,40","412,98K","0,42%"
"12/02/2015","103,20","105,55","106,35","102,65","1,00M","-4,09%"
"13/02/2015","103,70","101,55","104,65","101,55","763,12K","0,48%"
"16/02/2015","103,30","102,65","104,20","102,60","442,25K","-0,39%"
"17/02/2015","103,60","102,35","103,70","102,10","503,18K","0,29%"
"18/02/2015","102,35","103,75","103,95","102,10","506,52K","-1,21%"
"19/02/2015","103,90","101,90","104,75","101,90","466,77K","1,51%"
"20/02/2015","103,20","103,90","104,10","102,85","640,92K","-0,67%"
"23/02/2015","104,65","103,95","104,75","103,30","319,98K","1,41%"
"24/02/2015","104,40","105,00","105,00","103,75","471,58K","-0,24%"
"25/02/2015","103,85","104,30","104,45","103,25","369,04K","-0,53%"
"26/02/2015","105,95","103,70","106,00","103,30","409,71K","2,02%"
"27/02/2015","105,95","105,50","106,20","104,75","415,10K","0,00%"
"02/03/2015","105,25","105,75","106,00","104,80","341,68K","-0,66%"
"03/03/2015","105,20","105,55","106,30","104,90","428,05K","-0,05%"
"04/03/2015","106,30","105,25","106,30","104,65","495,54K","1,05%"
"05/03/2015","106,40","106,20","106,80","105,60","460,06K","0,09%"
