"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","59,26","59,85","59,91","58,97","340,48K","-0,64%"
"05/01/2015","58,08","59,09","59,52","58,04","443,50K","-1,99%"
"06/01/2015","57,90","58,24","58,56","57,34","744,84K","-0,31%"
"07/01/2015","58,32","58,17","58,56","57,73","665,76K","0,73%"
"08/01/2015","59,20","58,81","59,31","58,27","1,41M","1,51%"
"09/01/2015","58,96","59,04","59,98","58,72","818,16K","-0,41%"
"12/01/2015","59,73","59,35","59,96","59,09","540,18K","1,31%"
"13/01/2015","60,14","59,64","60,59","59,56","653,36K","0,69%"
"14/01/2015","60,08","60,36","60,73","59,95","1,30M","-0,10%"
"15/01/2015","61,15","60,61","61,30","59,41","1,52M","1,78%"
"16/01/2015","62,74","61,12","63,02","61,12","1,55M","2,60%"
"19/01/2015","62,68","62,75","62,97","62,39","484,82K","-0,10%"
"20/01/2015","63,99","62,70","64,25","62,62","888,10K","2,09%"
"21/01/2015","64,17","64,17","64,50","63,43","687,33K","0,28%"
"22/01/2015","65,83","64,25","66,11","64,21","1,06M","2,59%"
"23/01/2015","67,42","66,40","67,49","65,90","1,11M","2,42%"
"26/01/2015","67,75","67,09","67,87","67,01","527,69K","0,49%"
"27/01/2015","67,04","67,82","67,97","66,75","749,89K","-1,05%"
"28/01/2015","66,50","67,26","67,63","66,35","845,10K","-0,81%"
"29/01/2015","66,42","66,17","67,00","65,92","735,36K","-0,12%"
"30/01/2015","66,43","66,56","66,93","66,30","966,01K","0,02%"
"02/02/2015","66,37","66,53","67,10","65,77","833,77K","-0,09%"
"03/02/2015","67,07","66,33","67,31","65,94","772,56K","1,05%"
"04/02/2015","68,08","66,99","68,08","66,86","746,18K","1,51%"
"05/02/2015","67,94","67,62","68,20","67,43","581,99K","-0,21%"
"06/02/2015","67,59","68,00","68,00","67,30","470,61K","-0,52%"
"09/02/2015","66,79","67,14","67,17","66,40","570,60K","-1,18%"
"10/02/2015","67,25","66,95","67,73","66,68","526,44K","0,69%"
"11/02/2015","67,05","67,35","67,57","66,75","641,36K","-0,30%"
"12/02/2015","69,56","68,70","70,85","68,51","1,40M","3,74%"
"13/02/2015","69,94","69,56","70,04","69,51","870,26K","0,55%"
"16/02/2015","70,60","70,00","70,71","69,75","583,12K","0,94%"
"17/02/2015","69,62","70,35","70,42","69,39","582,17K","-1,39%"
"18/02/2015","71,08","69,94","71,47","69,81","605,93K","2,10%"
"19/02/2015","71,65","71,00","71,73","70,59","515,36K","0,80%"
"20/02/2015","71,28","71,47","71,68","70,87","767,43K","-0,52%"
"23/02/2015","72,03","71,50","72,08","71,27","594,32K","1,05%"
"24/02/2015","72,29","72,10","72,68","71,77","528,88K","0,36%"
"25/02/2015","71,85","72,23","72,45","71,43","540,57K","-0,61%"
"26/02/2015","72,76","71,64","72,76","71,43","469,93K","1,27%"
"27/02/2015","72,87","72,62","73,23","72,23","624,91K","0,15%"
"02/03/2015","72,90","72,95","73,06","72,47","562,65K","0,04%"
"03/03/2015","72,23","73,23","73,56","72,18","512,25K","-0,92%"
"04/03/2015","72,32","72,50","72,78","71,43","714,38K","0,12%"
"05/03/2015","73,46","72,34","73,52","72,33","454,39K","1,58%"
"06/03/2015","73,92","73,50","73,92","73,21","501,22K","0,63%"
"09/03/2015","72,67","73,60","73,95","72,43","735,87K","-1,69%"
"10/03/2015","72,52","72,44","72,96","71,61","716,24K","-0,21%"
"11/03/2015","73,99","72,73","74,10","72,47","836,02K","2,03%"
"12/03/2015","74,52","73,76","74,52","73,53","780,50K","0,72%"
"13/03/2015","76,26","74,70","76,31","74,70","1,05M","2,33%"
"16/03/2015","76,47","76,42","77,02","76,18","789,91K","0,28%"
"17/03/2015","75,03","76,53","76,80","75,01","947,75K","-1,88%"
"18/03/2015","74,81","75,16","75,30","74,17","1,08M","-0,29%"
"19/03/2015","74,75","74,75","74,75","73,80","989,34K","-0,08%"
"20/03/2015","74,68","74,79","75,17","74,66","677,33K","-0,09%"
"23/03/2015","74,22","74,69","74,81","73,66","540,73K","-0,62%"
"24/03/2015","74,42","74,22","74,89","74,05","618,50K","0,27%"
"25/03/2015","72,81","74,38","74,53","72,64","790,43K","-2,16%"
"26/03/2015","70,81","72,33","72,82","68,83","1,71M","-2,75%"
"27/03/2015","71,02","71,18","72,25","70,26","1,35M","0,30%"
"30/03/2015","72,31","71,88","72,80","71,47","808,61K","1,82%"
"31/03/2015","71,83","72,13","72,67","71,58","821,68K","-0,66%"
"01/04/2015","71,48","71,92","72,80","71,26","827,95K","-0,49%"
"02/04/2015","72,26","71,57","72,26","71,50","538,61K","1,09%"
"07/04/2015","73,25","72,76","73,52","72,39","694,43K","1,37%"
"08/04/2015","73,10","73,39","73,39","72,84","694,80K","-0,20%"
"09/04/2015","74,63","73,47","74,63","73,34","533,82K","2,09%"
"10/04/2015","75,48","74,87","75,56","74,66","710,51K","1,14%"
"13/04/2015","74,84","75,48","75,49","74,57","488,47K","-0,85%"
"14/04/2015","73,72","74,51","74,80","73,32","779,38K","-1,50%"
"15/04/2015","73,90","73,82","73,99","73,55","633,13K","0,24%"
"16/04/2015","73,55","73,93","73,93","72,80","547,34K","-0,47%"
"17/04/2015","72,81","73,50","74,03","72,46","871,04K","-1,01%"
"20/04/2015","72,34","72,94","73,70","71,90","830,89K","-0,65%"
"21/04/2015","76,81","75,10","77,85","75,10","2,29M","6,18%"
"22/04/2015","78,30","76,69","79,40","76,41","1,52M","1,94%"
"23/04/2015","77,61","78,22","78,30","76,65","964,20K","-0,88%"
"24/04/2015","77,86","77,70","78,01","76,87","668,58K","0,32%"
"27/04/2015","78,13","77,60","78,50","77,08","589,58K","0,35%"
"28/04/2015","76,21","77,73","77,87","75,75","936,12K","-2,46%"
"29/04/2015","73,95","76,21","76,79","73,87","1,17M","-2,97%"
"30/04/2015","74,86","74,03","75,27","72,63","1,05M","1,23%"
"04/05/2015","75,50","74,89","76,22","74,44","433,98K","0,85%"
"05/05/2015","73,08","75,40","76,33","73,04","821,31K","-3,21%"
"06/05/2015","72,30","73,31","73,55","72,14","833,98K","-1,07%"
"07/05/2015","72,83","72,00","73,15","70,85","677,82K","0,73%"
"08/05/2015","74,74","73,61","74,77","73,03","668,83K","2,62%"
"11/05/2015","75,03","74,84","75,21","74,52","539,62K","0,39%"
"12/05/2015","73,49","74,62","74,77","73,15","548,82K","-2,05%"
"13/05/2015","73,57","73,67","74,70","73,20","470,66K","0,11%"
"14/05/2015","74,46","73,53","74,81","73,08","447,47K","1,21%"
"15/05/2015","74,86","74,53","75,88","74,45","732,62K","0,54%"
"18/05/2015","74,92","75,16","75,82","74,25","677,43K","0,08%"
"19/05/2015","76,79","75,21","77,18","75,21","765,70K","2,50%"
"20/05/2015","77,13","76,69","77,16","76,22","508,69K","0,44%"
"21/05/2015","76,71","77,12","77,46","75,90","494,29K","-0,54%"
"22/05/2015","76,06","76,74","76,90","75,95","574,64K","-0,85%"
"25/05/2015","76,48","76,00","76,77","75,52","100,40K","0,55%"
"26/05/2015","75,39","76,34","77,05","75,13","687,59K","-1,43%"
"27/05/2015","75,74","75,39","75,80","75,14","915,78K","0,46%"
"28/05/2015","75,07","75,48","76,14","74,73","594,11K","-0,88%"
"29/05/2015","72,81","75,13","75,16","72,68","925,32K","-3,01%"
"01/06/2015","73,02","73,00","73,79","72,53","713,24K","0,29%"
"02/06/2015","71,98","72,66","72,66","70,77","1,62M","-1,42%"
"03/06/2015","71,73","71,97","73,00","71,31","1,06M","-0,35%"
"04/06/2015","69,53","71,40","71,52","69,46","1,72M","-3,07%"
"05/06/2015","68,84","69,11","69,39","68,30","1,18M","-0,99%"
"08/06/2015","68,45","69,11","69,11","68,22","758,34K","-0,57%"
"09/06/2015","68,77","68,50","69,11","68,05","997,91K","0,47%"
"10/06/2015","68,84","68,80","69,02","68,30","1,25M","0,10%"
"11/06/2015","70,13","68,86","70,46","68,68","1,40M","1,87%"
"12/06/2015","68,82","69,89","70,08","68,41","781,80K","-1,87%"
"15/06/2015","67,46","68,03","68,09","67,20","949,52K","-1,98%"
"16/06/2015","67,97","67,28","68,25","66,57","1,20M","0,76%"
"17/06/2015","67,19","68,01","68,27","67,08","705,38K","-1,15%"
"18/06/2015","67,47","67,12","67,65","66,39","840,87K","0,42%"
"19/06/2015","67,36","67,43","68,07","67,09","1,14M","-0,16%"
"22/06/2015","68,53","68,55","69,05","68,01","1,33M","1,74%"
"23/06/2015","69,50","69,04","69,81","69,03","979,61K","1,42%"
"24/06/2015","68,71","69,67","69,67","68,50","1,22M","-1,14%"
"25/06/2015","69,67","68,36","69,89","68,32","1,31M","1,40%"
"26/06/2015","69,57","69,27","70,07","68,79","883,32K","-0,14%"
"29/06/2015","67,23","66,75","68,25","66,50","917,07K","-3,36%"
"30/06/2015","66,32","67,05","67,22","66,32","1,27M","-1,35%"
"01/07/2015","67,95","67,08","68,69","66,74","1,16M","2,46%"
"02/07/2015","66,65","68,06","68,39","66,63","844,57K","-1,91%"
"03/07/2015","66,36","66,84","66,93","66,24","899,83K","-0,44%"
"06/07/2015","65,62","66,11","66,34","65,47","829,96K","-1,12%"
"07/07/2015","65,00","65,76","66,21","64,73","1,14M","-0,94%"
"08/07/2015","66,12","66,00","66,60","65,65","1,41M","1,72%"
"09/07/2015","68,32","66,23","68,65","66,06","1,10M","3,33%"
"10/07/2015","69,35","69,98","69,98","69,04","1,19M","1,51%"
"13/07/2015","71,31","70,00","71,62","69,86","1,06M","2,83%"
"14/07/2015","71,33","70,97","71,33","70,81","610,90K","0,03%"
"15/07/2015","71,46","71,55","71,84","71,30","584,67K","0,18%"
"16/07/2015","72,94","71,73","73,08","71,67","832,68K","2,07%"
"17/07/2015","73,25","72,96","73,53","72,33","809,18K","0,43%"
"20/07/2015","72,97","73,71","73,75","72,83","655,07K","-0,38%"
"21/07/2015","72,08","72,98","73,11","71,91","717,49K","-1,22%"
"22/07/2015","72,12","71,80","72,63","71,63","714,47K","0,06%"
"23/07/2015","70,21","73,90","73,97","69,74","1,65M","-2,65%"
"24/07/2015","68,95","70,00","70,40","68,44","1,79M","-1,79%"
"27/07/2015","67,44","68,80","68,93","67,04","1,04M","-2,19%"
"28/07/2015","67,76","67,59","68,60","67,15","706,18K","0,47%"
