"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/10/2025","33,63","34,29","34,31","33,41","925,18K","-2,15%"
"13/10/2025","34,37","34,61","35,02","34,15","749,86K","0,12%"
"10/10/2025","34,33","35,28","35,49","34,33","1,03M","-2,33%"
"09/10/2025","35,15","35,54","36,11","35,15","880,53K","-0,99%"
"08/10/2025","35,50","35,25","35,98","35,17","1,09M","-1,83%"
"07/10/2025","36,16","35,68","36,41","35,47","1,41M","2,73%"
"06/10/2025","35,20","35,70","35,72","34,33","1,51M","-1,62%"
"03/10/2025","35,78","35,79","35,99","35,51","951,21K","0,06%"
"02/10/2025","35,76","35,35","36,23","35,10","1,15M","2,17%"
"01/10/2025","35,00","34,75","35,75","34,61","1,09M","0,57%"
"30/09/2025","34,80","34,60","34,95","34,37","970,89K","0,14%"
"29/09/2025","34,75","34,90","34,95","34,40","715,09K","0,00%"
"26/09/2025","34,75","34,82","35,28","34,51","920,70K","-0,57%"
"25/09/2025","34,95","34,41","35,52","34,40","1,00M","1,66%"
"24/09/2025","34,38","34,55","34,61","34,11","952,94K","-1,21%"
"23/09/2025","34,80","34,80","35,48","34,79","819,14K","-0,06%"
"22/09/2025","34,82","35,23","35,27","34,69","867,96K","-1,55%"
"19/09/2025","35,37","35,30","36,25","35,27","2,60M","0,31%"
"18/09/2025","35,26","35,23","35,59","35,19","740,70K","0,31%"
"17/09/2025","35,15","35,00","35,39","34,90","1,15M","0,51%"
"16/09/2025","34,97","34,88","35,40","34,70","1,22M","0,60%"
"15/09/2025","34,76","34,54","34,96","34,42","1,11M","1,13%"
"12/09/2025","34,37","34,55","34,73","33,81","963,24K","-0,52%"
"11/09/2025","34,55","34,05","34,68","33,80","1,00M","1,35%"
"10/09/2025","34,09","34,13","34,35","33,92","1,19M","-0,18%"
"09/09/2025","34,15","33,41","34,23","33,36","1,49M","3,55%"
"08/09/2025","32,98","33,02","33,16","32,62","631,83K","-0,09%"
"05/09/2025","33,01","33,10","33,45","32,85","884,89K","0,30%"
"04/09/2025","32,91","32,54","33,46","32,42","935,60K","1,07%"
"03/09/2025","32,56","33,42","33,54","32,56","1,34M","-2,05%"
"02/09/2025","33,24","33,91","33,92","33,05","1,93M","-2,35%"
"01/09/2025","34,04","33,65","34,53","33,60","1,21M","1,31%"
"29/08/2025","33,60","33,76","34,03","33,36","823,67K","-0,83%"
"28/08/2025","33,88","32,74","34,51","32,68","1,68M","3,64%"
"27/08/2025","32,69","33,18","33,46","32,61","1,17M","-1,27%"
"26/08/2025","33,11","32,83","33,37","32,67","1,79M","-0,60%"
"25/08/2025","33,31","33,67","33,81","33,24","733,52K","-0,74%"
"22/08/2025","33,56","33,00","33,61","32,90","656,89K","1,42%"
"21/08/2025","33,09","33,45","33,53","33,05","655,50K","-1,43%"
"20/08/2025","33,57","33,55","33,68","33,40","600,35K","-0,36%"
"19/08/2025","33,69","32,76","33,84","32,74","1,26M","3,19%"
"18/08/2025","32,65","33,03","33,09","32,65","794,32K","-1,39%"
"15/08/2025","33,11","32,75","33,26","32,75","762,48K","1,47%"
"14/08/2025","32,63","32,80","32,87","32,60","804,08K","-0,40%"
"13/08/2025","32,76","32,44","32,97","32,34","880,52K","0,92%"
"12/08/2025","32,46","32,46","32,79","32,29","664,44K","0,28%"
"11/08/2025","32,37","32,59","32,89","32,37","829,33K","-0,19%"
"08/08/2025","32,43","32,00","32,52","31,92","1,21M","2,14%"
"07/08/2025","31,75","31,13","32,15","30,87","1,18M","1,96%"
"06/08/2025","31,14","31,34","31,62","31,13","1,00M","-0,29%"
"05/08/2025","31,23","31,50","31,60","30,96","1,59M","-0,54%"
"04/08/2025","31,40","32,10","32,33","31,28","1,88M","-2,45%"
"01/08/2025","32,19","32,70","32,83","31,89","1,53M","-1,59%"
"31/07/2025","32,71","32,85","33,21","32,36","2,57M","-1,48%"
"30/07/2025","33,20","34,00","34,22","33,20","1,29M","-2,98%"
"29/07/2025","34,22","33,89","34,62","33,80","1,25M","0,77%"
"28/07/2025","33,96","35,00","35,01","33,96","1,17M","-1,34%"
"25/07/2025","34,42","33,50","34,61","33,42","1,47M","1,99%"
"24/07/2025","33,75","34,52","34,53","33,64","953,09K","-0,59%"
