"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","75,05","75,31","76,18","74,33","2,00M","-0,29%"
"05/01/2015","72,89","74,25","74,93","72,56","4,35M","-2,88%"
"06/01/2015","73,13","73,61","74,30","73,01","3,32M","0,33%"
"07/01/2015","73,90","74,71","74,71","73,21","4,70M","1,05%"
"08/01/2015","77,02","75,18","77,17","74,82","4,66M","4,22%"
"09/01/2015","74,49","76,90","76,94","73,94","3,75M","-3,28%"
"12/01/2015","75,53","75,05","76,52","74,29","2,97M","1,40%"
"13/01/2015","76,43","75,13","77,24","74,95","2,59M","1,19%"
"14/01/2015","75,33","75,89","77,14","74,87","2,97M","-1,44%"
"15/01/2015","77,43","76,02","77,59","72,82","5,06M","2,79%"
"16/01/2015","79,51","77,07","79,71","76,70","4,86M","2,69%"
"19/01/2015","79,30","79,59","80,19","79,10","3,03M","-0,26%"
"20/01/2015","79,95","79,66","80,89","79,42","3,59M","0,82%"
"21/01/2015","80,19","80,24","80,56","78,43","3,92M","0,30%"
"22/01/2015","80,75","79,97","80,99","78,95","4,44M","0,70%"
"23/01/2015","83,14","81,79","83,51","81,15","5,49M","2,96%"
"26/01/2015","82,52","83,11","83,92","81,41","3,76M","-0,75%"
"27/01/2015","81,45","82,41","82,51","80,63","3,81M","-1,30%"
"28/01/2015","81,56","82,28","82,37","80,70","3,17M","0,14%"
"29/01/2015","81,83","81,29","82,06","81,04","2,96M","0,33%"
"30/01/2015","81,57","82,51","82,60","80,95","3,88M","-0,32%"
"02/02/2015","81,64","81,77","82,57","80,78","2,91M","0,09%"
"03/02/2015","81,08","81,64","82,77","80,84","3,63M","-0,69%"
"04/02/2015","81,16","80,78","81,27","80,00","3,96M","0,10%"
"05/02/2015","84,09","83,09","84,34","82,37","4,52M","3,61%"
"06/02/2015","84,56","83,95","84,99","83,39","4,34M","0,56%"
"09/02/2015","84,38","83,93","84,71","83,34","3,95M","-0,21%"
"10/02/2015","84,83","84,55","85,56","83,60","2,98M","0,53%"
"11/02/2015","84,56","84,53","84,75","83,51","2,06M","-0,32%"
