"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","45,42","45,94","46,30","44,86","1,23M","-0,20%"
"05/01/2015","43,88","44,97","45,32","43,83","2,15M","-3,39%"
"06/01/2015","43,40","44,22","44,23","43,40","1,59M","-1,09%"
"07/01/2015","45,00","43,72","46,02","43,70","3,58M","3,69%"
"08/01/2015","46,58","45,69","46,74","45,27","2,11M","3,51%"
"09/01/2015","46,56","46,53","47,38","46,28","2,02M","-0,04%"
"12/01/2015","47,63","46,66","47,99","46,60","2,37M","2,30%"
"13/01/2015","48,27","47,45","48,46","47,13","2,17M","1,34%"
"14/01/2015","47,47","47,32","48,52","46,98","2,47M","-1,66%"
"15/01/2015","48,20","47,87","48,56","45,42","2,77M","1,54%"
"16/01/2015","47,80","47,84","48,12","47,02","2,96M","-0,83%"
"19/01/2015","48,47","47,78","48,55","47,45","2,17M","1,40%"
"20/01/2015","48,18","48,60","48,78","47,91","2,43M","-0,60%"
"21/01/2015","48,83","48,15","48,84","47,62","2,34M","1,35%"
"22/01/2015","48,73","48,81","49,00","48,22","3,34M","-0,20%"
"23/01/2015","49,29","49,00","49,80","48,49","3,13M","1,15%"
"26/01/2015","49,52","48,88","49,68","48,52","1,89M","0,47%"
"27/01/2015","47,77","49,38","49,52","47,02","3,90M","-3,53%"
"28/01/2015","46,99","47,99","48,07","46,38","3,16M","-1,63%"
"29/01/2015","47,34","46,65","47,45","46,45","1,79M","0,74%"
"30/01/2015","46,84","47,48","47,50","46,63","2,57M","-1,06%"
"02/02/2015","47,30","46,92","47,44","46,55","1,61M","0,98%"
"03/02/2015","48,20","47,74","48,48","47,55","2,26M","1,90%"
"04/02/2015","48,33","48,14","48,40","47,74","1,61M","0,27%"
"05/02/2015","49,62","47,70","49,90","47,51","3,90M","2,67%"
"06/02/2015","49,41","49,57","49,62","49,10","2,18M","-0,42%"
"09/02/2015","50,48","49,10","50,77","49,05","4,28M","2,17%"
"10/02/2015","51,34","50,84","51,97","50,65","2,96M","1,70%"
"11/02/2015","51,15","51,09","51,40","50,43","1,75M","-0,37%"
"12/02/2015","51,41","50,80","51,95","50,68","2,53M","0,51%"
"13/02/2015","51,71","51,89","52,26","51,45","2,58M","0,58%"
"16/02/2015","52,74","51,56","53,01","51,50","2,90M","1,99%"
"17/02/2015","52,49","52,24","52,88","51,52","1,87M","-0,47%"
"18/02/2015","52,48","52,79","52,80","52,12","1,43M","-0,02%"
"19/02/2015","52,68","52,32","52,98","51,89","1,27M","0,38%"
"20/02/2015","52,72","52,60","53,00","52,07","2,03M","0,08%"
"23/02/2015","52,82","53,00","53,19","52,74","1,37M","0,19%"
"24/02/2015","53,16","52,92","53,32","52,37","1,40M","0,64%"
"25/02/2015","52,89","53,03","53,34","52,43","1,34M","-0,51%"
"26/02/2015","53,47","52,66","53,59","52,33","1,64M","1,10%"
"27/02/2015","53,02","53,28","53,32","52,37","2,89M","-0,84%"
"02/03/2015","53,05","52,81","53,39","52,64","1,46M","0,06%"
"03/03/2015","52,04","52,95","53,06","51,82","1,87M","-1,90%"
"04/03/2015","52,74","52,03","52,84","51,89","1,58M","1,35%"
"05/03/2015","53,65","53,00","53,83","52,61","1,92M","1,73%"
"06/03/2015","54,15","53,76","54,71","53,74","2,03M","0,93%"
"09/03/2015","54,15","53,87","54,23","53,63","1,49M","0,00%"
"10/03/2015","53,86","54,00","54,30","53,27","1,69M","-0,54%"
"11/03/2015","54,69","54,11","54,88","53,99","1,55M","1,54%"
"12/03/2015","54,29","54,56","54,67","53,74","1,51M","-0,73%"
"13/03/2015","54,27","54,28","54,40","53,68","1,18M","-0,04%"
"16/03/2015","54,91","54,21","55,24","54,11","1,71M","1,18%"
"17/03/2015","54,82","54,90","54,97","53,80","1,89M","-0,16%"
"18/03/2015","54,53","54,81","54,90","53,92","1,61M","-0,53%"
"19/03/2015","54,40","54,60","55,06","54,02","1,58M","-0,24%"
"20/03/2015","55,47","54,40","55,66","54,17","2,98M","1,97%"
"23/03/2015","54,95","55,50","55,50","54,54","1,64M","-0,94%"
"24/03/2015","55,29","54,81","55,49","54,68","1,30M","0,62%"
"25/03/2015","54,37","55,18","55,18","54,20","1,83M","-1,66%"
"26/03/2015","54,09","54,03","54,34","53,24","1,87M","-0,51%"
"27/03/2015","54,24","54,16","54,38","53,71","1,42M","0,28%"
"30/03/2015","54,14","54,33","54,60","54,02","1,56M","-0,18%"
"31/03/2015","53,23","54,13","54,56","53,23","2,78M","-1,68%"
"01/04/2015","54,13","53,10","54,65","52,73","1,95M","1,69%"
"02/04/2015","54,26","54,01","54,35","53,80","714,47K","0,24%"
"07/04/2015","54,56","54,48","55,05","54,41","1,08M","0,55%"
"08/04/2015","54,51","54,34","54,92","53,90","1,28M","-0,09%"
"09/04/2015","55,27","54,80","55,27","54,72","1,07M","1,39%"
"10/04/2015","55,04","55,46","55,61","54,81","1,60M","-0,42%"
"13/04/2015","56,56","55,10","56,67","54,82","2,46M","2,76%"
"14/04/2015","56,45","56,49","56,92","56,11","2,04M","-0,19%"
"15/04/2015","56,67","56,45","57,01","56,21","1,41M","0,39%"
"16/04/2015","56,70","56,77","57,08","56,17","2,08M","0,05%"
"17/04/2015","55,80","56,60","56,60","55,40","2,39M","-1,59%"
"20/04/2015","56,27","55,87","56,38","55,74","1,35M","0,84%"
"21/04/2015","57,09","56,70","57,35","56,38","2,13M","1,46%"
"22/04/2015","56,77","57,30","57,66","56,38","1,97M","-0,56%"
"23/04/2015","56,27","56,90","57,10","55,91","1,91M","-0,88%"
"24/04/2015","56,69","55,85","57,47","55,84","2,08M","0,75%"
"27/04/2015","56,27","55,71","56,56","54,88","2,37M","-0,74%"
"28/04/2015","56,22","56,12","56,37","55,70","1,95M","-0,09%"
"29/04/2015","54,77","56,39","56,60","54,59","2,21M","-2,58%"
"30/04/2015","54,82","54,60","55,11","53,25","1,94M","0,09%"
"04/05/2015","54,60","54,51","54,97","54,01","1,44M","-0,40%"
"05/05/2015","53,76","54,48","55,06","53,63","2,95M","-1,54%"
"06/05/2015","53,30","53,74","53,81","52,86","2,47M","-0,86%"
"07/05/2015","52,75","52,76","53,03","52,02","2,83M","-1,03%"
"08/05/2015","53,67","53,32","53,85","52,91","2,18M","1,74%"
"11/05/2015","53,10","53,47","53,57","52,84","1,65M","-1,06%"
"12/05/2015","52,67","52,80","52,87","51,99","1,88M","-0,81%"
"13/05/2015","52,66","52,91","53,38","52,47","1,57M","-0,02%"
"14/05/2015","53,72","52,60","53,95","52,24","1,67M","2,01%"
"15/05/2015","53,60","53,89","54,19","53,17","1,69M","-0,22%"
"18/05/2015","53,40","53,60","53,84","52,61","1,19M","-0,37%"
"19/05/2015","55,04","54,20","55,18","54,20","2,88M","3,07%"
"20/05/2015","55,29","54,96","55,49","54,95","1,39M","0,45%"
"21/05/2015","55,46","55,06","55,70","55,01","1,28M","0,31%"
"22/05/2015","55,47","55,49","55,71","55,01","1,13M","0,02%"
"25/05/2015","55,15","55,26","55,35","54,79","218,57K","-0,58%"
"26/05/2015","55,03","55,10","55,64","54,52","1,30M","-0,22%"
"27/05/2015","56,33","55,30","56,48","55,20","1,81M","2,36%"
"28/05/2015","55,39","56,13","56,13","54,88","1,54M","-1,67%"
"29/05/2015","54,08","55,39","55,73","54,08","2,07M","-2,37%"
"01/06/2015","54,79","54,68","55,32","54,33","1,73M","1,31%"
"02/06/2015","54,76","54,95","55,09","54,13","1,64M","-0,05%"
"03/06/2015","54,29","54,80","55,14","54,03","2,01M","-0,86%"
"04/06/2015","53,77","53,99","54,35","52,82","1,64M","-0,96%"
"05/06/2015","53,30","53,45","53,66","52,91","1,21M","-0,87%"
"08/06/2015","52,63","53,09","53,31","52,63","1,21M","-1,26%"
"09/06/2015","52,25","52,41","52,60","51,56","2,08M","-0,72%"
"10/06/2015","52,81","52,11","53,18","51,75","1,75M","1,07%"
"11/06/2015","53,02","52,74","53,55","52,64","1,50M","0,40%"
