"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","35,16","35,59","35,72","34,88","1,01M","-0,20%"
"05/01/2015","33,65","34,90","35,59","33,59","2,85M","-4,29%"
"06/01/2015","33,12","33,85","34,00","33,03","2,68M","-1,58%"
"07/01/2015","33,02","33,33","33,91","32,94","2,13M","-0,30%"
"08/01/2015","34,36","33,59","34,47","33,29","2,30M","4,06%"
"09/01/2015","33,83","34,34","34,78","33,49","1,96M","-1,54%"
"12/01/2015","33,99","34,03","34,41","33,48","1,22M","0,47%"
"13/01/2015","34,51","33,70","34,77","33,56","1,71M","1,53%"
"14/01/2015","33,55","33,85","34,51","33,47","2,75M","-2,78%"
"15/01/2015","33,38","33,80","34,13","32,36","4,84M","-0,51%"
"16/01/2015","33,44","33,13","33,66","32,53","4,82M","0,18%"
"19/01/2015","33,98","33,67","34,04","33,40","2,30M","1,61%"
"20/01/2015","35,00","34,03","35,12","34,02","3,48M","3,00%"
"21/01/2015","36,13","35,12","36,19","34,97","4,10M","3,23%"
"22/01/2015","37,98","36,20","38,16","36,13","5,83M","5,12%"
"23/01/2015","38,53","38,32","39,49","38,21","4,66M","1,45%"
"26/01/2015","38,31","38,23","38,41","37,72","2,97M","-0,57%"
"27/01/2015","37,73","38,20","38,41","37,35","2,37M","-1,51%"
"28/01/2015","38,01","38,22","38,25","37,18","1,90M","0,74%"
"29/01/2015","38,17","37,70","38,30","37,38","1,79M","0,42%"
"30/01/2015","37,93","38,31","38,41","37,65","1,58M","-0,63%"
"02/02/2015","37,64","37,97","38,13","37,03","3,22M","-0,76%"
"03/02/2015","38,78","37,95","38,88","37,90","2,59M","3,03%"
"04/02/2015","38,76","38,61","38,76","38,35","1,83M","-0,05%"
"05/02/2015","38,98","38,23","39,05","38,02","1,50M","0,57%"
"06/02/2015","38,55","39,09","39,09","38,22","1,62M","-1,10%"
"09/02/2015","38,25","38,15","38,37","37,77","1,66M","-0,78%"
"10/02/2015","38,81","38,46","39,09","38,34","1,57M","1,46%"
"11/02/2015","38,34","38,73","38,81","38,19","1,35M","-1,21%"
"12/02/2015","39,18","38,20","39,47","38,16","2,27M","2,19%"
"13/02/2015","39,79","39,50","39,98","39,17","2,62M","1,56%"
"16/02/2015","40,27","39,74","40,37","39,59","2,06M","1,21%"
"17/02/2015","40,27","40,10","40,54","39,55","1,64M","0,00%"
"18/02/2015","40,81","40,52","40,88","40,23","1,44M","1,34%"
"19/02/2015","41,26","40,66","41,65","40,40","2,69M","1,10%"
"20/02/2015","41,51","41,09","41,52","40,80","2,49M","0,61%"
"23/02/2015","41,64","41,89","41,95","41,33","1,46M","0,31%"
"24/02/2015","41,62","41,63","41,90","41,09","1,96M","-0,05%"
"25/02/2015","41,15","41,62","41,70","40,69","2,09M","-1,13%"
"26/02/2015","40,30","40,22","40,76","39,73","3,02M","-2,07%"
"27/02/2015","40,23","40,17","40,46","39,74","3,72M","-0,17%"
"02/03/2015","39,88","40,16","40,63","39,73","2,95M","-0,87%"
"03/03/2015","39,22","39,88","40,23","39,13","2,30M","-1,65%"
"04/03/2015","39,47","39,28","39,47","38,76","2,41M","0,64%"
"05/03/2015","39,98","39,73","40,09","39,27","2,50M","1,29%"
"06/03/2015","40,23","40,00","40,77","39,87","2,57M","0,63%"
"09/03/2015","40,18","40,25","40,53","39,91","2,11M","-0,12%"
"10/03/2015","39,82","40,18","40,42","39,59","1,92M","-0,90%"
"11/03/2015","40,70","39,88","40,90","39,78","2,33M","2,21%"
"12/03/2015","40,23","40,53","40,91","40,10","2,21M","-1,15%"
"13/03/2015","40,57","40,32","40,59","39,94","2,45M","0,85%"
"16/03/2015","41,15","40,76","41,34","40,58","2,77M","1,43%"
"17/03/2015","41,00","41,28","41,28","40,26","2,66M","-0,36%"
"18/03/2015","41,17","41,01","41,17","40,58","2,22M","0,41%"
"19/03/2015","40,84","41,22","41,62","40,73","2,40M","-0,80%"
"20/03/2015","41,56","40,84","41,75","40,73","3,20M","1,76%"
"23/03/2015","40,55","41,50","41,50","40,23","2,79M","-2,43%"
"24/03/2015","41,52","40,41","41,62","40,34","2,76M","2,39%"
"25/03/2015","40,96","41,46","41,52","40,76","2,26M","-1,35%"
"26/03/2015","40,56","40,54","40,74","39,84","2,31M","-0,98%"
"27/03/2015","40,95","40,61","41,19","40,48","2,31M","0,96%"
"30/03/2015","40,97","41,20","41,32","40,73","2,07M","0,05%"
"31/03/2015","40,90","40,91","41,58","40,82","2,00M","-0,17%"
"01/04/2015","41,51","40,63","41,90","40,55","2,33M","1,49%"
"02/04/2015","41,80","41,88","42,07","41,27","1,46M","0,70%"
"07/04/2015","42,23","41,91","42,45","41,84","1,73M","1,03%"
"08/04/2015","42,52","42,26","42,73","42,17","2,16M","0,69%"
"09/04/2015","43,06","42,78","43,16","42,48","1,49M","1,27%"
"10/04/2015","42,02","43,01","43,08","41,59","3,23M","-2,42%"
"13/04/2015","42,34","42,09","42,59","41,86","1,68M","0,76%"
"14/04/2015","41,70","42,19","42,42","41,41","2,25M","-1,51%"
"15/04/2015","41,75","41,75","41,96","41,45","1,65M","0,12%"
"16/04/2015","41,23","41,55","41,67","41,10","2,12M","-1,25%"
"17/04/2015","40,61","41,15","41,42","40,36","2,61M","-1,50%"
"20/04/2015","41,23","40,73","41,24","40,59","1,37M","1,53%"
"21/04/2015","41,37","41,26","41,79","41,08","2,03M","0,34%"
"22/04/2015","41,27","41,48","41,80","40,68","1,75M","-0,24%"
"23/04/2015","40,41","41,17","41,34","40,02","2,52M","-2,08%"
"24/04/2015","41,07","40,59","41,20","40,55","1,89M","1,63%"
"27/04/2015","41,67","41,09","41,91","40,41","2,11M","1,46%"
"28/04/2015","40,49","41,55","41,62","40,30","2,21M","-2,83%"
"29/04/2015","40,00","41,64","41,85","39,77","3,14M","-1,21%"
"30/04/2015","40,70","40,04","40,84","39,70","2,67M","1,75%"
"04/05/2015","41,14","40,76","41,45","40,29","1,49M","1,08%"
"05/05/2015","40,40","41,30","41,72","40,31","2,15M","-1,80%"
"06/05/2015","40,41","40,30","40,67","39,88","1,76M","0,02%"
"07/05/2015","40,13","39,72","40,37","39,19","2,39M","-0,69%"
"08/05/2015","41,41","40,50","41,57","40,42","2,10M","3,19%"
"11/05/2015","41,25","41,26","41,46","41,02","1,17M","-0,39%"
"12/05/2015","41,11","40,80","41,24","40,21","2,09M","-0,34%"
"13/05/2015","41,09","41,20","41,81","40,91","1,95M","-0,05%"
"14/05/2015","40,84","40,47","40,97","40,01","2,91M","-0,61%"
"15/05/2015","40,66","40,95","41,36","40,38","2,25M","-0,44%"
"18/05/2015","41,09","40,88","41,11","40,27","2,24M","1,06%"
"19/05/2015","42,02","41,23","42,09","41,19","2,67M","2,26%"
"20/05/2015","42,52","41,94","42,57","41,67","1,92M","1,19%"
"21/05/2015","43,23","42,59","43,35","42,52","3,21M","1,67%"
"22/05/2015","43,31","43,23","43,47","43,05","2,13M","0,19%"
"25/05/2015","43,06","42,97","43,09","42,76","255,52K","-0,58%"
"26/05/2015","43,13","43,02","43,63","42,58","2,45M","0,16%"
"27/05/2015","43,79","43,34","44,00","43,03","2,70M","1,53%"
"28/05/2015","43,56","43,49","43,63","43,00","2,06M","-0,53%"
"29/05/2015","42,43","43,38","43,55","42,38","3,91M","-2,59%"
"01/06/2015","42,31","42,78","42,90","42,09","1,93M","-0,28%"
"02/06/2015","42,09","42,67","42,69","41,66","2,93M","-0,52%"
"03/06/2015","42,41","42,12","42,80","41,95","2,02M","0,76%"
"04/06/2015","42,45","42,31","43,02","41,48","3,30M","0,09%"
"05/06/2015","42,59","42,28","42,97","42,02","3,11M","0,33%"
"08/06/2015","42,53","42,59","42,95","42,26","3,34M","-0,14%"
"09/06/2015","41,92","42,28","42,47","41,60","4,01M","-1,43%"
"10/06/2015","41,55","40,67","41,74","40,15","3,40M","-0,88%"
"11/06/2015","41,78","41,38","42,24","41,25","2,79M","0,55%"
"12/06/2015","41,02","41,84","41,91","40,50","2,98M","-1,82%"
"15/06/2015","40,48","40,55","40,87","40,23","2,59M","-1,32%"
"16/06/2015","40,67","40,20","40,84","39,70","3,21M","0,47%"
"17/06/2015","40,23","40,77","40,78","40,08","2,23M","-1,08%"
"18/06/2015","40,45","40,27","40,59","39,57","3,40M","0,55%"
"19/06/2015","40,62","40,63","41,30","40,45","2,04M","0,42%"
"22/06/2015","42,74","41,94","42,88","41,76","3,85M","5,22%"
"23/06/2015","43,24","43,05","43,48","42,94","2,94M","1,17%"
"24/06/2015","42,79","43,20","43,53","42,53","3,11M","-1,04%"
"25/06/2015","42,95","42,44","43,29","42,30","2,35M","0,37%"
"26/06/2015","42,83","42,66","43,12","42,16","1,88M","-0,28%"
"29/06/2015","41,15","40,90","41,73","40,52","3,39M","-3,92%"
"30/06/2015","40,27","41,06","41,31","40,27","3,68M","-2,14%"
"01/07/2015","41,55","40,83","42,03","40,50","3,34M","3,18%"
"02/07/2015","40,92","41,71","41,72","40,91","1,72M","-1,52%"
"03/07/2015","40,57","40,84","40,92","40,28","1,80M","-0,86%"
"06/07/2015","39,74","39,56","40,28","39,26","3,45M","-2,05%"
"07/07/2015","38,24","39,74","39,85","38,24","3,96M","-3,77%"
"08/07/2015","38,88","38,34","39,22","38,27","2,95M","1,67%"
"09/07/2015","39,79","39,10","40,01","38,87","2,79M","2,34%"
"10/07/2015","41,22","41,12","41,34","40,64","2,90M","3,59%"
"13/07/2015","42,05","41,84","42,36","41,63","2,23M","2,01%"
"14/07/2015","41,99","42,10","42,16","41,80","1,38M","-0,14%"
"15/07/2015","41,86","41,91","41,99","41,20","2,30M","-0,31%"
"16/07/2015","42,90","42,24","43,08","42,05","2,33M","2,48%"
"17/07/2015","43,14","43,11","43,34","42,77","1,92M","0,56%"
"20/07/2015","43,23","43,30","43,64","43,13","1,29M","0,21%"
"21/07/2015","43,07","43,42","43,59","42,88","1,87M","-0,37%"
