"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","35,36","35,34","36,03","34,80","2,84M","1,06%"
"05/01/2015","33,78","35,20","35,74","33,59","6,58M","-4,47%"
"06/01/2015","33,18","33,90","34,05","33,16","4,84M","-1,78%"
"07/01/2015","32,83","33,42","33,66","32,61","5,36M","-1,05%"
"08/01/2015","33,78","33,39","34,13","32,86","7,17M","2,89%"
"09/01/2015","33,40","33,77","34,34","33,01","7,24M","-1,12%"
"12/01/2015","33,45","33,62","33,94","32,87","5,46M","0,15%"
"13/01/2015","33,87","33,24","34,29","33,11","5,25M","1,26%"
"14/01/2015","33,48","33,39","34,37","33,13","6,76M","-1,15%"
"15/01/2015","33,98","33,80","34,40","32,45","7,50M","1,49%"
"16/01/2015","34,11","33,84","34,27","33,42","6,01M","0,38%"
"19/01/2015","34,87","34,33","35,48","34,10","5,84M","2,23%"
"20/01/2015","36,35","35,10","36,59","35,03","9,31M","4,24%"
"21/01/2015","36,71","36,47","36,91","35,73","7,87M","0,99%"
"22/01/2015","38,08","36,85","38,49","36,59","9,84M","3,73%"
"23/01/2015","37,81","38,51","39,08","37,45","9,89M","-0,71%"
"26/01/2015","38,10","37,56","38,29","37,29","5,47M","0,77%"
"27/01/2015","37,23","38,05","38,09","36,58","7,47M","-2,28%"
"28/01/2015","36,20","37,55","37,65","35,90","9,54M","-2,77%"
"29/01/2015","36,26","35,95","36,61","35,69","5,60M","0,17%"
"30/01/2015","35,84","36,59","36,70","35,52","4,74M","-1,16%"
"02/02/2015","36,00","35,73","36,00","35,16","6,05M","0,45%"
"03/02/2015","37,66","36,39","37,67","36,12","7,23M","4,61%"
"04/02/2015","37,16","37,66","37,80","36,81","6,66M","-1,33%"
"05/02/2015","36,82","36,57","36,94","36,08","4,77M","-0,91%"
"06/02/2015","37,22","36,90","37,61","36,70","4,94M","1,09%"
"09/02/2015","36,44","36,69","36,84","35,98","4,75M","-2,10%"
"10/02/2015","36,55","36,42","37,16","36,05","4,43M","0,30%"
"11/02/2015","36,31","36,64","36,84","36,14","3,33M","-0,66%"
"12/02/2015","36,91","35,80","37,28","35,27","6,65M","1,65%"
"13/02/2015","38,40","37,29","38,76","37,19","8,41M","4,04%"
"16/02/2015","38,62","38,36","38,98","38,28","4,06M","0,57%"
"17/02/2015","38,50","38,05","38,88","37,60","4,69M","-0,31%"
"18/02/2015","40,05","38,85","40,19","38,75","7,64M","4,03%"
"19/02/2015","40,18","39,95","40,40","39,31","4,89M","0,32%"
"20/02/2015","40,45","39,93","40,91","39,82","6,08M","0,67%"
"23/02/2015","40,45","41,00","41,47","40,09","4,42M","0,00%"
"24/02/2015","40,81","40,58","41,12","40,15","4,59M","0,89%"
"25/02/2015","40,20","40,52","40,58","39,98","4,49M","-1,49%"
"26/02/2015","40,97","40,15","41,20","40,03","4,62M","1,92%"
"27/02/2015","41,31","40,92","41,31","40,70","3,79M","0,83%"
"02/03/2015","41,48","41,38","41,89","41,16","3,88M","0,41%"
"03/03/2015","40,55","41,60","41,70","40,43","4,74M","-2,24%"
"04/03/2015","41,01","40,70","41,01","40,20","4,47M","1,13%"
"05/03/2015","41,34","41,18","41,49","40,77","4,32M","0,80%"
"06/03/2015","41,80","41,34","42,09","41,13","4,87M","1,11%"
"09/03/2015","41,58","41,51","41,87","41,22","3,52M","-0,53%"
"10/03/2015","40,95","41,52","41,70","40,70","4,41M","-1,52%"
"11/03/2015","42,15","41,29","42,31","41,01","5,48M","2,93%"
"12/03/2015","42,18","41,94","42,37","41,79","3,37M","0,07%"
"13/03/2015","42,29","42,31","42,40","41,97","2,74M","0,26%"
"16/03/2015","42,79","42,30","42,98","42,30","4,45M","1,18%"
"17/03/2015","42,45","42,95","43,10","41,80","4,65M","-0,79%"
"18/03/2015","42,01","42,41","42,57","41,77","4,99M","-1,04%"
"19/03/2015","42,57","42,05","42,90","41,98","4,03M","1,33%"
"20/03/2015","43,16","42,51","43,69","42,38","9,21M","1,39%"
"23/03/2015","43,73","43,30","43,73","43,05","4,17M","1,32%"
"24/03/2015","44,83","43,87","45,19","43,60","5,89M","2,52%"
"25/03/2015","44,84","44,61","45,24","44,55","4,85M","0,02%"
"26/03/2015","44,29","44,16","44,60","43,75","4,51M","-1,23%"
"27/03/2015","44,66","44,31","44,97","44,26","3,94M","0,84%"
"30/03/2015","45,63","45,00","45,87","44,88","4,53M","2,17%"
"31/03/2015","44,97","45,60","45,78","44,62","4,55M","-1,45%"
"01/04/2015","45,66","44,84","46,15","44,72","4,19M","1,53%"
"02/04/2015","45,92","45,44","46,10","45,40","2,38M","0,57%"
"07/04/2015","46,45","46,01","46,73","45,88","3,48M","1,15%"
"08/04/2015","46,49","46,47","46,81","46,24","3,17M","0,09%"
"09/04/2015","46,56","46,62","46,73","46,14","3,30M","0,15%"
"10/04/2015","46,19","46,52","46,76","45,76","3,47M","-0,79%"
"13/04/2015","46,62","46,21","46,78","46,12","2,89M","0,93%"
"14/04/2015","45,73","46,51","46,95","45,40","4,54M","-1,91%"
"15/04/2015","46,05","45,85","46,33","45,77","2,91M","0,70%"
"16/04/2015","45,60","46,00","46,15","45,02","4,62M","-0,98%"
"17/04/2015","44,83","45,52","46,00","44,31","5,84M","-1,69%"
"20/04/2015","45,93","45,00","45,99","44,87","3,67M","2,45%"
"21/04/2015","45,24","46,07","46,39","44,97","4,92M","-1,50%"
"22/04/2015","45,75","45,28","45,82","44,62","4,48M","1,13%"
"23/04/2015","45,10","45,76","45,81","44,62","4,78M","-1,42%"
"24/04/2015","45,84","45,17","46,24","45,10","4,27M","1,64%"
"27/04/2015","46,76","46,13","46,90","45,23","3,93M","2,01%"
"28/04/2015","46,22","46,55","46,56","45,65","3,62M","-1,15%"
"29/04/2015","45,21","46,20","46,50","45,02","3,79M","-2,19%"
"30/04/2015","44,70","45,20","45,30","44,31","6,12M","-1,13%"
"04/05/2015","45,33","45,05","45,95","44,51","3,77M","1,41%"
"05/05/2015","44,77","45,78","46,26","44,62","5,56M","-1,24%"
"06/05/2015","43,75","44,00","44,15","42,40","8,09M","-2,28%"
"07/05/2015","43,30","42,70","43,48","42,30","6,97M","-1,03%"
"08/05/2015","44,08","43,90","44,16","43,03","4,07M","1,80%"
"11/05/2015","44,15","44,22","44,39","43,66","2,86M","0,16%"
"12/05/2015","43,80","43,78","43,94","43,37","3,77M","-0,79%"
"13/05/2015","44,13","43,91","44,77","43,90","3,99M","0,75%"
"14/05/2015","44,93","44,09","45,21","43,55","3,64M","1,81%"
"15/05/2015","44,65","45,40","45,64","44,39","4,43M","-0,62%"
"18/05/2015","44,02","44,67","44,80","43,24","4,35M","-1,41%"
"19/05/2015","44,65","44,38","44,98","44,20","3,72M","1,43%"
"20/05/2015","45,03","44,59","45,13","44,25","2,98M","0,85%"
"21/05/2015","44,98","44,95","45,02","44,51","1,76M","-0,11%"
"22/05/2015","44,75","44,62","45,03","44,41","3,27M","-0,51%"
"25/05/2015","44,53","44,81","44,81","44,18","978,89K","-0,49%"
"26/05/2015","43,29","43,56","43,78","42,67","5,29M","-2,78%"
"27/05/2015","44,20","43,49","44,43","43,02","4,16M","2,10%"
"28/05/2015","43,55","44,02","44,12","42,96","3,58M","-1,47%"
"29/05/2015","42,52","43,59","43,68","42,35","5,19M","-2,37%"
"01/06/2015","42,20","42,61","42,92","42,08","3,85M","-0,75%"
"02/06/2015","42,76","42,54","43,33","41,67","5,85M","1,33%"
"03/06/2015","43,31","42,94","43,84","42,74","4,93M","1,29%"
"04/06/2015","43,02","43,00","43,56","42,41","5,03M","-0,67%"
"05/06/2015","42,30","42,59","42,91","41,86","4,72M","-1,67%"
"08/06/2015","42,02","42,18","42,73","41,90","3,80M","-0,66%"
"09/06/2015","42,20","41,95","42,38","41,31","4,12M","0,43%"
"10/06/2015","42,98","41,92","43,36","41,80","4,24M","1,85%"
"11/06/2015","43,42","42,88","44,03","42,80","4,83M","1,02%"
"12/06/2015","42,90","43,47","43,74","42,23","4,64M","-1,20%"
"15/06/2015","41,91","42,30","42,60","41,49","4,41M","-2,31%"
"16/06/2015","41,92","41,57","42,20","41,02","4,92M","0,02%"
"17/06/2015","41,65","42,00","42,41","41,45","3,69M","-0,64%"
"18/06/2015","42,05","41,56","42,25","40,91","6,12M","0,96%"
"19/06/2015","42,41","42,22","42,85","42,05","5,56M","0,86%"
"22/06/2015","43,75","43,23","44,02","42,73","8,81M","3,16%"
"23/06/2015","44,34","44,00","44,65","43,95","6,51M","1,35%"
"24/06/2015","44,03","44,48","44,57","43,55","5,39M","-0,70%"
"25/06/2015","44,13","43,70","44,66","43,56","6,57M","0,23%"
"26/06/2015","44,45","43,91","44,86","43,45","3,74M","0,73%"
"29/06/2015","42,09","42,07","42,95","41,52","7,85M","-5,31%"
"30/06/2015","41,87","41,85","42,95","41,34","6,74M","-0,52%"
"01/07/2015","42,97","42,56","43,78","42,21","6,91M","2,63%"
"02/07/2015","42,31","43,16","43,35","42,27","3,36M","-1,54%"
"03/07/2015","41,98","42,20","42,47","41,70","3,17M","-0,78%"
"06/07/2015","40,40","41,00","41,23","39,96","6,40M","-3,76%"
"07/07/2015","39,27","40,63","40,63","39,14","5,84M","-2,80%"
"08/07/2015","39,50","39,29","40,01","39,02","5,30M","0,59%"
"09/07/2015","40,95","39,74","41,27","39,66","4,52M","3,67%"
"10/07/2015","42,45","42,50","42,95","42,09","5,20M","3,66%"
"13/07/2015","43,55","43,34","43,98","43,12","4,96M","2,59%"
"14/07/2015","43,78","43,62","43,83","43,08","2,52M","0,53%"
"15/07/2015","44,20","43,70","44,33","43,70","3,03M","0,96%"
"16/07/2015","44,88","44,45","45,13","44,45","4,99M","1,54%"
"17/07/2015","44,84","45,06","45,13","44,70","3,62M","-0,09%"
"20/07/2015","45,31","45,02","45,77","44,90","3,67M","1,05%"
"21/07/2015","45,12","45,44","45,59","44,86","2,64M","-0,42%"
"22/07/2015","45,33","44,90","45,63","44,81","2,89M","0,47%"
"23/07/2015","45,65","45,80","45,83","45,27","2,51M","0,71%"
"24/07/2015","45,27","45,53","45,83","45,14","3,25M","-0,83%"
"27/07/2015","43,88","45,00","45,06","43,74","5,53M","-3,07%"
"28/07/2015","44,48","44,08","44,84","43,94","3,13M","1,37%"
"29/07/2015","44,12","44,73","44,89","43,89","2,93M","-0,81%"
"30/07/2015","44,58","44,35","44,72","43,97","3,55M","1,04%"
"31/07/2015","44,80","44,80","44,94","44,13","4,53M","0,49%"
"03/08/2015","45,00","44,76","45,02","44,59","3,00M","0,45%"
"04/08/2015","44,65","44,81","44,85","43,98","4,00M","-0,78%"
"05/08/2015","48,17","47,00","48,77","46,91","14,10M","7,88%"
"06/08/2015","48,09","47,91","48,49","47,80","3,53M","-0,17%"
"07/08/2015","47,88","48,09","48,37","47,84","2,97M","-0,44%"
