"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"24/12/2018","10,43","10,62","10,67","10,40","1,24M","-2,34%"
"27/12/2018","10,39","10,71","10,77","10,27","4,17M","-0,39%"
"28/12/2018","10,48","10,46","10,56","10,38","2,23M","0,91%"
"31/12/2018","10,70","10,59","10,72","10,58","1,18M","2,11%"
"02/01/2019","10,40","10,58","10,58","10,26","3,37M","-2,82%"
"03/01/2019","10,34","10,31","10,50","10,27","3,12M","-0,63%"
"04/01/2019","10,85","10,43","10,85","10,38","4,79M","5,00%"
"07/01/2019","11,13","10,87","11,15","10,87","4,42M","2,54%"
"08/01/2019","11,27","11,13","11,42","11,06","5,68M","1,29%"
"09/01/2019","11,36","11,41","11,64","11,23","5,22M","0,81%"
"10/01/2019","11,52","11,25","11,52","11,13","4,26M","1,39%"
"11/01/2019","11,66","11,57","11,73","11,44","4,63M","1,20%"
"14/01/2019","11,69","11,52","11,77","11,45","3,26M","0,30%"
"15/01/2019","11,85","11,82","11,97","11,56","6,36M","1,33%"
"16/01/2019","12,24","11,83","12,27","11,82","7,03M","3,29%"
"17/01/2019","12,11","12,17","12,23","11,96","4,32M","-1,08%"
"18/01/2019","12,24","12,23","12,39","12,10","4,19M","1,14%"
"21/01/2019","12,20","12,23","12,28","12,16","2,20M","-0,38%"
"22/01/2019","12,25","12,14","12,27","12,11","3,06M","0,42%"
"23/01/2019","12,06","12,19","12,22","11,99","5,65M","-1,59%"
"24/01/2019","12,38","11,97","12,38","11,93","3,71M","2,71%"
"25/01/2019","12,59","12,45","12,60","12,45","4,39M","1,67%"
"28/01/2019","12,39","12,48","12,62","12,38","3,51M","-1,60%"
"29/01/2019","12,45","12,35","12,65","12,16","3,97M","0,51%"
"30/01/2019","12,55","12,56","12,63","12,42","3,03M","0,78%"
"31/01/2019","12,62","12,56","12,76","12,39","4,31M","0,59%"
"01/02/2019","12,77","12,74","12,87","12,64","3,36M","1,14%"
"04/02/2019","12,57","12,76","12,83","12,47","3,08M","-1,57%"
"05/02/2019","12,58","12,62","12,68","12,44","2,39M","0,14%"
"06/02/2019","12,38","12,52","12,58","12,34","4,70M","-1,64%"
"07/02/2019","12,01","12,33","12,42","12,01","6,46M","-2,97%"
"08/02/2019","11,84","11,95","12,14","11,77","4,42M","-1,43%"
"11/02/2019","12,10","11,91","12,17","11,91","4,13M","2,23%"
"12/02/2019","12,45","12,42","12,57","12,34","5,18M","2,85%"
"13/02/2019","12,28","12,51","12,56","12,26","4,20M","-1,34%"
"14/02/2019","12,01","12,32","12,45","11,98","4,38M","-2,15%"
"15/02/2019","12,22","11,80","12,26","11,69","5,52M","1,72%"
"18/02/2019","12,27","12,19","12,32","12,10","3,08M","0,38%"
