"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","6,22","6,24","6,25","6,13","1,06M","0,32%"
"05/01/2015","6,13","6,20","6,27","6,13","1,85M","-1,45%"
"06/01/2015","6,07","6,16","6,20","6,05","1,59M","-0,98%"
"07/01/2015","6,19","6,14","6,27","6,10","1,81M","1,98%"
"08/01/2015","6,40","6,27","6,45","6,26","2,51M","3,39%"
"09/01/2015","6,37","6,43","6,52","6,31","2,68M","-0,47%"
"12/01/2015","6,45","6,44","6,53","6,35","1,52M","1,26%"
"13/01/2015","6,53","6,49","6,54","6,36","2,08M","1,24%"
"14/01/2015","6,49","6,44","6,57","6,42","2,08M","-0,61%"
"15/01/2015","6,58","6,54","6,64","6,39","2,14M","1,39%"
"16/01/2015","6,66","6,53","6,67","6,49","1,82M","1,22%"
"19/01/2015","6,68","6,64","6,74","6,63","1,17M","0,30%"
"20/01/2015","6,80","6,73","6,80","6,72","2,29M","1,80%"
"21/01/2015","6,90","6,89","6,90","6,76","2,71M","1,47%"
"22/01/2015","7,01","6,88","7,04","6,87","2,54M","1,59%"
"23/01/2015","7,27","7,13","7,27","7,11","5,28M","3,71%"
"26/01/2015","7,55","7,28","7,56","7,22","2,66M","3,85%"
"27/01/2015","7,36","7,67","7,75","7,31","4,45M","-2,52%"
"28/01/2015","7,15","7,31","7,49","7,09","4,22M","-2,85%"
"29/01/2015","7,39","7,11","7,42","7,11","2,72M","3,36%"
"30/01/2015","7,40","7,41","7,52","7,35","4,44M","0,14%"
"02/02/2015","7,39","7,38","7,43","7,29","2,55M","-0,14%"
"03/02/2015","7,43","7,42","7,47","7,39","2,48M","0,54%"
"04/02/2015","7,66","7,47","7,68","7,37","2,73M","3,10%"
"05/02/2015","7,61","7,63","7,69","7,53","1,71M","-0,65%"
"06/02/2015","7,68","7,58","7,69","7,57","1,16M","0,92%"
"09/02/2015","7,53","7,64","7,64","7,44","1,81M","-1,95%"
"10/02/2015","7,75","7,55","7,76","7,49","2,52M","2,92%"
"11/02/2015","7,81","7,72","7,84","7,71","1,73M","0,77%"
"12/02/2015","7,96","7,77","7,96","7,75","3,15M","1,92%"
"13/02/2015","7,79","8,00","8,00","7,79","2,60M","-2,14%"
"16/02/2015","7,78","7,80","7,87","7,78","1,27M","-0,13%"
"17/02/2015","7,73","7,75","7,75","7,65","1,57M","-0,64%"
"18/02/2015","7,80","7,76","7,84","7,76","1,56M","0,91%"
"19/02/2015","7,71","7,80","7,82","7,68","1,66M","-1,15%"
"20/02/2015","7,82","7,70","7,82","7,65","1,97M","1,43%"
"23/02/2015","7,86","7,86","7,92","7,82","1,45M","0,51%"
"24/02/2015","7,91","7,87","7,91","7,82","1,31M","0,64%"
"25/02/2015","7,90","7,88","7,99","7,88","1,32M","-0,13%"
"26/02/2015","8,00","7,94","8,00","7,89","1,73M","1,27%"
"27/02/2015","7,98","8,00","8,01","7,86","1,97M","-0,25%"
"02/03/2015","8,20","8,01","8,21","7,96","3,32M","2,76%"
"03/03/2015","8,26","8,20","8,41","8,20","3,29M","0,73%"
