"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","45,03","44,90","45,21","44,26","198,87K","0,09%"
"05/01/2015","44,53","44,76","45,34","44,30","253,59K","-1,11%"
"06/01/2015","44,66","44,54","44,92","44,10","314,72K","0,29%"
"07/01/2015","45,20","44,92","45,50","44,56","378,68K","1,21%"
"08/01/2015","46,05","45,66","46,19","45,31","339,40K","1,88%"
"09/01/2015","46,77","46,70","47,50","46,55","406,45K","1,56%"
"12/01/2015","46,22","46,91","47,00","45,82","297,52K","-1,18%"
"13/01/2015","47,73","47,02","47,98","47,02","438,92K","3,27%"
"14/01/2015","47,08","47,40","47,78","46,90","253,41K","-1,36%"
"15/01/2015","48,06","47,37","48,16","46,88","350,40K","2,08%"
"16/01/2015","47,84","47,75","48,02","47,27","322,67K","-0,46%"
"19/01/2015","48,05","47,80","48,05","47,49","219,33K","0,44%"
"20/01/2015","48,03","48,15","48,20","47,87","229,35K","-0,04%"
"21/01/2015","47,91","47,99","48,02","47,40","232,32K","-0,25%"
"22/01/2015","49,55","47,99","49,84","47,77","594,06K","3,42%"
"23/01/2015","47,62","47,20","48,22","47,00","1,06M","-3,90%"
"26/01/2015","48,09","47,47","48,27","47,24","393,86K","0,99%"
"27/01/2015","47,91","48,02","48,48","47,60","336,41K","-0,37%"
"28/01/2015","48,32","48,26","48,52","47,70","297,09K","0,86%"
"29/01/2015","47,53","48,09","48,09","47,38","455,40K","-1,63%"
"30/01/2015","46,80","47,80","47,81","46,66","297,09K","-1,54%"
"02/02/2015","46,95","46,81","47,35","46,42","501,75K","0,32%"
"03/02/2015","47,18","47,25","47,53","46,98","443,68K","0,49%"
"04/02/2015","48,12","47,20","48,12","47,16","316,54K","1,99%"
"05/02/2015","48,15","47,84","48,20","47,71","198,15K","0,06%"
"06/02/2015","48,92","48,14","49,06","48,06","520,96K","1,60%"
"09/02/2015","49,01","48,57","49,09","48,19","554,24K","0,18%"
"10/02/2015","50,83","49,09","51,21","49,00","795,28K","3,71%"
"11/02/2015","50,50","50,89","50,89","49,88","295,43K","-0,65%"
"12/02/2015","50,74","50,25","51,00","50,01","365,53K","0,48%"
"13/02/2015","50,38","50,99","51,00","50,15","271,07K","-0,71%"
"16/02/2015","50,23","50,31","50,48","49,95","293,37K","-0,30%"
"17/02/2015","50,31","50,02","50,57","49,70","181,40K","0,16%"
"18/02/2015","51,51","50,46","51,75","50,46","457,62K","2,39%"
"19/02/2015","51,56","51,57","51,75","51,16","210,58K","0,10%"
"20/02/2015","51,80","51,49","52,21","51,40","286,37K","0,47%"
"23/02/2015","52,19","51,95","52,52","51,95","283,44K","0,75%"
"24/02/2015","51,78","52,11","52,60","51,63","257,38K","-0,79%"
"25/02/2015","51,55","51,60","51,84","51,27","462,22K","-0,44%"
"26/02/2015","50,53","51,90","51,90","49,71","561,72K","-1,98%"
"27/02/2015","51,41","50,12","51,48","50,05","555,21K","1,74%"
"02/03/2015","50,98","51,35","51,80","50,80","322,49K","-0,84%"
"03/03/2015","50,32","50,98","51,17","50,17","281,61K","-1,29%"
"04/03/2015","51,16","50,34","51,16","50,03","326,12K","1,67%"
"05/03/2015","51,61","51,20","51,92","51,09","340,36K","0,88%"
"06/03/2015","52,48","51,56","52,65","51,56","524,09K","1,69%"
"09/03/2015","52,29","52,20","52,39","51,78","432,19K","-0,36%"
"10/03/2015","52,19","52,14","53,10","52,12","400,20K","-0,19%"
"11/03/2015","53,58","52,27","53,71","52,26","304,78K","2,66%"
"12/03/2015","53,42","53,70","54,13","53,22","398,56K","-0,30%"
"13/03/2015","53,73","53,69","53,89","53,18","295,72K","0,58%"
"16/03/2015","53,68","53,60","54,12","53,33","276,44K","-0,09%"
"17/03/2015","52,88","53,91","54,05","52,67","283,71K","-1,49%"
"18/03/2015","52,62","53,08","53,40","52,51","343,45K","-0,49%"
"19/03/2015","52,75","52,79","53,16","52,06","342,23K","0,25%"
"20/03/2015","53,26","52,57","53,44","52,56","288,37K","0,97%"
"23/03/2015","52,51","53,01","53,20","52,46","283,34K","-1,41%"
"24/03/2015","52,49","52,22","52,66","51,85","493,97K","-0,04%"
"25/03/2015","51,69","52,23","53,07","51,58","368,80K","-1,52%"
"26/03/2015","51,53","51,51","51,69","50,35","364,99K","-0,31%"
"27/03/2015","51,91","51,70","52,53","51,63","430,21K","0,74%"
"30/03/2015","51,91","52,16","52,71","51,74","212,60K","0,00%"
"31/03/2015","51,70","51,91","52,51","51,23","367,28K","-0,40%"
"01/04/2015","52,32","51,70","52,89","51,41","282,67K","1,20%"
"02/04/2015","52,32","52,40","52,60","52,00","164,44K","0,00%"
"07/04/2015","53,13","52,38","53,35","52,31","314,25K","1,55%"
"08/04/2015","53,53","53,40","53,55","52,98","256,30K","0,75%"
"09/04/2015","53,97","53,64","54,07","53,57","271,33K","0,82%"
"10/04/2015","54,66","54,00","55,18","53,99","514,92K","1,28%"
"13/04/2015","54,95","55,18","55,19","54,19","259,78K","0,53%"
"14/04/2015","54,38","54,78","54,78","54,02","414,97K","-1,04%"
"15/04/2015","54,40","54,50","55,00","54,20","337,73K","0,04%"
"16/04/2015","53,87","54,31","54,42","53,81","346,32K","-0,97%"
"17/04/2015","53,73","54,55","55,26","53,58","483,40K","-0,26%"
"20/04/2015","54,48","53,88","54,63","53,87","305,12K","1,40%"
"21/04/2015","54,64","54,60","55,76","54,57","427,94K","0,29%"
"22/04/2015","54,89","54,73","55,16","54,53","492,36K","0,46%"
"23/04/2015","55,09","54,89","55,15","54,60","442,16K","0,36%"
"24/04/2015","55,05","55,10","55,50","54,63","259,47K","-0,07%"
"27/04/2015","55,83","55,05","55,85","54,70","299,91K","1,42%"
"28/04/2015","54,72","55,76","55,81","54,40","338,34K","-1,99%"
"29/04/2015","53,06","54,62","55,11","53,06","342,03K","-3,03%"
"30/04/2015","54,24","53,24","54,55","52,49","612,46K","2,22%"
"04/05/2015","54,43","54,55","54,61","53,91","292,93K","0,35%"
"05/05/2015","54,10","54,78","56,45","54,02","606,12K","-0,61%"
"06/05/2015","53,33","53,00","53,92","52,00","554,19K","-1,42%"
