"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","57,65","56,76","57,95","56,50","67,75K","2,16%"
"05/01/2015","57,38","57,71","58,54","57,29","134,59K","-0,47%"
"06/01/2015","56,45","57,38","57,38","56,23","88,56K","-1,62%"
"07/01/2015","56,56","56,61","57,20","56,31","109,75K","0,19%"
"08/01/2015","57,67","56,90","57,67","56,67","97,73K","1,96%"
"09/01/2015","57,10","57,50","57,99","56,83","56,27K","-0,99%"
"12/01/2015","59,80","57,30","59,80","57,30","164,31K","4,73%"
"13/01/2015","60,02","59,60","60,33","59,34","247,57K","0,37%"
"14/01/2015","59,75","59,60","60,00","59,04","161,14K","-0,45%"
"15/01/2015","60,60","60,00","60,63","59,00","130,85K","1,42%"
"16/01/2015","60,71","60,52","61,31","60,10","162,71K","0,18%"
"19/01/2015","61,96","60,73","62,38","60,40","125,55K","2,06%"
"20/01/2015","61,38","62,21","62,50","61,05","97,81K","-0,94%"
"21/01/2015","61,40","61,40","61,66","60,52","87,45K","0,03%"
"22/01/2015","62,14","61,40","62,28","61,06","82,11K","1,21%"
"23/01/2015","63,00","62,50","63,66","62,50","112,83K","1,38%"
"26/01/2015","64,35","63,00","64,69","62,89","148,28K","2,14%"
"27/01/2015","64,21","64,35","64,79","63,75","176,09K","-0,22%"
"28/01/2015","64,25","64,59","64,62","63,80","129,58K","0,06%"
"29/01/2015","64,21","64,00","64,41","63,53","90,41K","-0,06%"
"30/01/2015","63,59","64,11","64,60","63,54","111,51K","-0,97%"
"02/02/2015","62,84","63,63","64,25","62,14","95,27K","-1,18%"
"03/02/2015","65,22","63,04","65,23","62,80","136,25K","3,79%"
"04/02/2015","64,63","65,17","65,30","64,25","101,95K","-0,90%"
"05/02/2015","65,02","64,25","65,13","64,01","74,45K","0,60%"
"06/02/2015","64,40","65,00","65,00","64,07","82,64K","-0,95%"
"09/02/2015","64,05","64,39","64,39","63,43","116,80K","-0,54%"
"10/02/2015","65,42","64,03","65,46","64,03","69,74K","2,14%"
"11/02/2015","65,37","65,01","65,58","64,50","75,09K","-0,08%"
"12/02/2015","66,12","65,21","66,12","65,13","83,92K","1,15%"
"13/02/2015","65,74","66,09","66,38","65,53","72,50K","-0,57%"
"16/02/2015","65,48","65,53","65,61","65,07","70,90K","-0,40%"
"17/02/2015","65,50","65,12","65,57","64,89","54,53K","0,03%"
"18/02/2015","65,87","65,83","66,62","65,64","52,11K","0,56%"
"19/02/2015","66,36","65,51","66,95","65,46","79,70K","0,74%"
"20/02/2015","66,20","66,06","66,91","65,94","69,44K","-0,24%"
"23/02/2015","66,41","66,50","67,00","66,16","77,63K","0,32%"
"24/02/2015","66,58","66,82","66,90","66,12","59,33K","0,26%"
"25/02/2015","66,23","66,95","66,99","65,11","161,71K","-0,53%"
