"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","211,55","214,45","215,00","210,55","198,88K","-0,61%"
"05/01/2015","209,85","210,20","213,65","209,85","613,69K","-0,80%"
"06/01/2015","210,15","211,20","212,10","209,10","374,69K","0,14%"
"07/01/2015","213,15","211,90","215,05","210,20","352,21K","1,43%"
"08/01/2015","221,10","215,00","221,10","214,70","482,80K","3,73%"
"09/01/2015","217,00","219,50","220,30","215,75","467,85K","-1,85%"
"12/01/2015","220,40","217,55","221,20","217,45","320,40K","1,57%"
"13/01/2015","224,60","219,45","224,95","219,05","394,24K","1,91%"
"14/01/2015","224,80","221,45","228,20","220,70","490,92K","0,09%"
"15/01/2015","230,30","225,45","230,85","219,25","767,65K","2,45%"
"16/01/2015","240,95","229,60","241,65","228,55","935,90K","4,62%"
"19/01/2015","238,40","241,15","241,50","237,40","632,43K","-1,06%"
"20/01/2015","238,35","240,10","242,05","237,75","665,86K","-0,02%"
"21/01/2015","235,20","238,00","238,10","232,70","750,21K","-1,32%"
"22/01/2015","241,10","236,40","241,90","233,95","616,85K","2,51%"
"23/01/2015","250,05","242,05","250,45","241,65","881,23K","3,71%"
"26/01/2015","251,95","248,10","252,50","247,65","457,56K","0,76%"
"27/01/2015","244,85","252,55","253,05","242,85","486,05K","-2,82%"
"28/01/2015","244,10","247,70","248,70","243,10","491,79K","-0,31%"
"29/01/2015","251,35","239,00","251,95","236,30","767,17K","2,97%"
"30/01/2015","250,10","250,80","254,75","248,10","617,25K","-0,50%"
"02/02/2015","255,40","251,85","255,40","250,55","465,97K","2,12%"
"03/02/2015","259,10","256,30","260,05","255,00","560,64K","1,45%"
"04/02/2015","257,35","260,00","260,15","254,25","511,63K","-0,68%"
"05/02/2015","258,60","254,95","258,85","254,45","349,31K","0,49%"
"06/02/2015","256,45","258,00","259,45","255,90","305,59K","-0,83%"
"09/02/2015","250,50","254,50","254,55","248,55","432,52K","-2,32%"
"10/02/2015","254,10","251,40","256,35","248,20","370,54K","1,44%"
"11/02/2015","252,80","253,80","254,25","250,00","193,65K","-0,51%"
"12/02/2015","255,15","253,50","258,20","252,35","268,49K","0,93%"
"13/02/2015","256,30","257,65","258,05","255,10","274,87K","0,45%"
"16/02/2015","255,90","256,55","257,25","255,10","157,89K","-0,16%"
"17/02/2015","256,20","254,60","256,20","251,15","245,29K","0,12%"
"18/02/2015","253,75","256,20","257,50","252,75","379,32K","-0,96%"
"19/02/2015","258,85","253,35","258,85","252,70","275,17K","2,01%"
"20/02/2015","255,85","258,50","258,50","252,15","490,18K","-1,16%"
"23/02/2015","259,00","259,60","260,00","256,00","274,86K","1,23%"
"24/02/2015","260,25","258,40","261,95","257,70","290,59K","0,48%"
"25/02/2015","258,05","260,95","261,90","256,50","311,39K","-0,85%"
"26/02/2015","260,45","258,80","260,70","256,70","239,26K","0,93%"
"27/02/2015","257,60","260,75","260,75","256,35","379,47K","-1,09%"
"02/03/2015","259,95","258,35","260,25","256,90","382,33K","0,91%"
"03/03/2015","256,70","261,00","262,00","256,70","252,85K","-1,25%"
"04/03/2015","258,20","258,55","258,70","255,05","251,52K","0,58%"
"05/03/2015","259,45","260,00","260,50","257,90","228,57K","0,48%"
"06/03/2015","253,35","258,90","260,30","252,85","307,45K","-2,35%"
"09/03/2015","249,10","251,10","251,55","246,05","408,76K","-1,68%"
"10/03/2015","248,00","247,80","251,40","247,15","242,66K","-0,44%"
"11/03/2015","252,75","245,00","254,05","244,30","562,04K","1,92%"
"12/03/2015","251,05","252,30","253,05","250,55","296,80K","-0,67%"
"13/03/2015","254,95","252,30","255,05","251,55","294,52K","1,55%"
"16/03/2015","256,00","255,25","258,00","254,75","313,68K","0,41%"
"17/03/2015","252,50","255,10","256,05","251,50","318,23K","-1,37%"
"18/03/2015","255,20","253,55","255,45","252,55","328,40K","1,07%"
"19/03/2015","255,50","256,25","257,55","253,65","451,10K","0,12%"
"20/03/2015","257,40","257,00","258,70","254,35","830,56K","0,74%"
"23/03/2015","257,20","258,80","259,00","255,65","400,91K","-0,08%"
"24/03/2015","255,70","252,95","257,15","251,90","322,31K","-0,58%"
"25/03/2015","253,00","255,90","258,15","252,25","392,36K","-1,06%"
"26/03/2015","249,50","250,65","253,10","247,10","429,31K","-1,38%"
"27/03/2015","253,05","250,95","253,65","248,85","322,75K","1,42%"
"30/03/2015","256,20","255,85","258,00","255,05","318,29K","1,24%"
"31/03/2015","251,05","255,05","256,50","251,05","413,40K","-2,01%"
"01/04/2015","250,75","250,50","254,05","249,60","294,74K","-0,12%"
"02/04/2015","249,10","251,20","252,05","248,05","259,27K","-0,66%"
"07/04/2015","252,35","252,80","254,50","251,00","227,60K","1,30%"
"08/04/2015","253,35","251,40","254,40","250,75","312,48K","0,40%"
"09/04/2015","254,55","253,70","254,95","253,40","250,52K","0,47%"
"10/04/2015","256,80","255,00","257,15","254,35","273,03K","0,88%"
"13/04/2015","253,70","257,75","257,80","253,70","273,84K","-1,21%"
"14/04/2015","255,05","252,45","256,20","252,35","315,16K","0,53%"
"15/04/2015","254,25","256,20","257,50","253,80","264,80K","-0,31%"
"16/04/2015","252,55","254,15","254,30","250,65","322,20K","-0,67%"
"17/04/2015","249,90","252,45","255,30","249,30","515,64K","-1,05%"
"20/04/2015","253,65","252,95","254,30","251,50","323,38K","1,50%"
"21/04/2015","254,30","255,10","255,50","253,25","298,32K","0,26%"
"22/04/2015","255,80","254,75","256,45","251,55","367,36K","0,59%"
"23/04/2015","252,25","255,35","256,40","251,75","425,87K","-1,39%"
"24/04/2015","251,75","252,40","253,95","250,30","253,58K","-0,20%"
"27/04/2015","255,65","252,20","256,25","249,00","325,08K","1,55%"
"28/04/2015","252,80","255,45","256,40","249,80","362,45K","-1,11%"
"29/04/2015","247,95","253,75","255,20","247,95","379,34K","-1,92%"
"30/04/2015","246,50","248,45","249,35","245,70","436,65K","-0,58%"
"04/05/2015","249,10","247,75","250,70","245,70","204,45K","1,05%"
"05/05/2015","240,40","249,95","251,90","240,05","362,68K","-3,49%"
"06/05/2015","234,05","240,05","240,60","233,70","611,95K","-2,64%"
"07/05/2015","234,25","232,85","235,10","228,20","893,87K","0,09%"
"08/05/2015","243,70","238,30","243,70","236,20","406,65K","4,03%"
