"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2015","14,16","14,32","14,45","13,99","1,77M","-0,49%"
"05/01/2015","13,81","14,09","14,32","13,78","2,47M","-2,47%"
"06/01/2015","13,61","13,85","13,85","13,54","3,16M","-1,45%"
"07/01/2015","13,72","13,70","13,86","13,64","1,82M","0,81%"
"08/01/2015","13,98","13,87","14,04","13,78","3,13M","1,90%"
"09/01/2015","14,17","14,02","14,44","13,99","3,59M","1,36%"
"12/01/2015","14,08","14,25","14,42","13,97","1,96M","-0,64%"
"13/01/2015","14,67","14,24","14,75","14,18","6,04M","4,19%"
"14/01/2015","14,67","14,53","14,82","14,45","3,04M","0,00%"
"15/01/2015","14,89","14,76","14,95","14,27","4,50M","1,50%"
"16/01/2015","15,05","14,83","15,12","14,71","3,61M","1,07%"
"19/01/2015","15,22","15,07","15,31","15,04","2,95M","1,13%"
"20/01/2015","15,28","15,31","15,32","15,15","2,55M","0,39%"
"21/01/2015","15,29","15,29","15,33","15,09","2,71M","0,07%"
"22/01/2015","15,67","15,25","15,77","15,23","4,13M","2,49%"
"23/01/2015","15,67","15,74","15,98","15,60","3,78M","0,00%"
"26/01/2015","15,71","15,62","15,90","15,57","2,84M","0,26%"
"27/01/2015","15,56","15,67","15,74","15,34","3,69M","-0,95%"
"28/01/2015","15,63","15,67","15,70","15,39","2,17M","0,45%"
"29/01/2015","15,87","15,56","15,90","15,48","2,64M","1,54%"
"30/01/2015","15,67","15,91","15,92","15,60","2,18M","-1,26%"
"02/02/2015","15,51","15,69","15,85","15,32","3,70M","-1,02%"
"03/02/2015","15,84","15,57","16,04","15,53","3,93M","2,13%"
"04/02/2015","15,89","15,86","15,90","15,72","2,28M","0,32%"
"05/02/2015","15,89","15,79","16,09","15,75","2,68M","0,00%"
"06/02/2015","15,70","15,88","15,88","15,62","2,15M","-1,20%"
"09/02/2015","15,47","15,59","15,60","15,33","2,53M","-1,46%"
"10/02/2015","15,67","15,51","15,70","15,46","2,61M","1,29%"
"11/02/2015","15,71","15,67","15,83","15,57","1,59M","0,26%"
"12/02/2015","15,69","15,69","15,85","15,47","2,70M","-0,13%"
"13/02/2015","15,84","15,75","15,89","15,67","3,32M","0,96%"
"16/02/2015","15,77","15,84","15,87","15,72","1,37M","-0,44%"
"17/02/2015","15,74","15,73","15,76","15,55","1,37M","-0,19%"
"18/02/2015","15,80","15,76","15,89","15,73","1,92M","0,38%"
"19/02/2015","15,93","15,75","15,93","15,68","2,06M","0,82%"
"20/02/2015","16,00","15,90","16,06","15,87","2,17M","0,44%"
"23/02/2015","16,05","16,06","16,10","15,94","1,93M","0,31%"
"24/02/2015","16,46","16,09","16,54","16,04","3,66M","2,55%"
"25/02/2015","16,24","16,52","16,56","16,02","4,72M","-1,34%"
"26/02/2015","16,37","16,58","16,59","15,81","5,13M","0,80%"
"27/02/2015","16,78","16,39","16,78","16,37","3,39M","2,50%"
"02/03/2015","16,81","16,85","17,02","16,77","3,22M","0,18%"
"03/03/2015","16,31","16,53","16,54","16,28","6,07M","-2,97%"
"04/03/2015","16,39","16,37","16,40","16,13","4,22M","0,49%"
"05/03/2015","16,47","16,41","16,48","16,38","2,14M","0,49%"
"06/03/2015","16,41","16,48","16,53","16,41","3,48M","-0,36%"
"09/03/2015","16,40","16,35","16,40","16,20","2,41M","-0,06%"
"10/03/2015","16,37","16,39","16,46","16,21","2,37M","-0,18%"
"11/03/2015","16,47","16,41","16,49","16,40","3,85M","0,61%"
"12/03/2015","16,68","16,49","16,69","16,43","3,55M","1,28%"
"13/03/2015","16,68","16,68","16,80","16,55","3,03M","0,00%"
"16/03/2015","16,77","16,73","16,83","16,66","3,40M","0,54%"
"17/03/2015","16,70","16,78","16,79","16,60","2,80M","-0,42%"
"18/03/2015","16,77","16,71","16,79","16,60","2,56M","0,42%"
"19/03/2015","16,82","16,81","16,93","16,71","3,51M","0,30%"
"20/03/2015","16,88","16,83","16,98","16,79","6,50M","0,36%"
